Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
      ↳ C2 bond wedge,1.83640700,1.83638250,-0.00002450,-0.00133413,21.66698100,21.80570200,0.13872100,0.64024148,
      ↳ C3 bond wedge,1.83640700,1.83638250,-0.00002450,-0.00133413,21.66698100,21.80570200,0.13872100,0.64024148,
C2 — H4 bond bundle,2.76275211,2.71041920,-0.05233291,-1.89423111,75.70946800,78.86518000,3.15571200,4.16818673,
      ↳ C2 bond wedge,1.81723800,1.69915690,-0.11808110,-6.49783353,27.90821700,26.17018400,-1.73803300,-6.22767481,
      ↳ H4 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C3 — C4 bond bundle,4.76351090,4.78601400,0.02250310,0.47240576,71.35714300,72.02405900,0.66691600,0.93461702,
      ↳ C3 bond wedge,2.36031220,2.50742280,0.14711060,6.23267549,34.20981300,37.80358500,3.59377200,10.50509104,
      ↳ C4 bond wedge,2.40319870,2.27859120,-0.12460750,-5.18506855,37.14733000,34.22047400,-2.92685600,-7.87904810,
C3 — H3 bond bundle,2.76275211,2.71041920,-0.05233291,-1.89423111,75.70946800,78.86518000,3.15571200,4.16818673,
      ↳ C3 bond wedge,1.81723800,1.69915690,-0.11808110,-6.49783353,27.90821700,26.17018400,-1.73803300,-6.22767481,
      ↳ H3 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C4 — H1 bond bundle,2.75483222,2.75353180,-0.00130042,-0.04720505,78.76391200,77.81954800,-0.94436400,-1.19898057,
      ↳ C4 bond wedge,1.81757520,1.82080740,0.00323220,0.17783033,30.76316500,30.16675500,-0.59641000,-1.93871469,
      ↳ H1 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C4 — H2 bond bundle,2.76566989,2.79643703,0.03076714,1.11246610,77.66167200,74.91278900,-2.74888300,-3.53956196,
      ↳ C4 bond wedge,1.81715310,1.90989960,0.09274650,5.10394529,29.83720900,31.08492600,1.24771700,4.18174837,
      ↳ H2 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
Total,29.76634424,29.76556906,-0.00077518,-0.00260422,650.31835200,650.85455600,0.53620400,0.08245254,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — C2 bond bundle,4.73967750,4.77129990,0.03162240,0.66718463,70.62382300,71.51413700,0.89031400,1.26064260,
      ↳ C1 bond wedge,2.37808240,2.27675270,-0.10132970,-4.26098356,36.48029300,34.02719600,-2.45309700,-6.72444435,
      ↳ C2 bond wedge,2.36159510,2.49454720,0.13295210,5.62975846,34.14353000,37.48694100,3.34341100,9.79222418,
C1 — H5 bond bundle,2.74253822,2.75878140,0.01624318,0.59226814,78.69684900,77.99127400,-0.70557500,-0.89657338,
      ↳ C1 bond wedge,1.80528120,1.82605700,0.02077580,1.15083456,30.69610200,30.33848100,-0.35762100,-1.16503718,
      ↳ H5 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C1 — H6 bond bundle,2.80308009,2.79302593,-0.01005416,-0.35868258,78.39577200,74.93434100,-3.46143100,-4.41532867,
      ↳ C1 bond wedge,1.85456330,1.90648850,0.05192520,2.79986129,30.57130900,31.10647800,0.53516900,1.75055965,
      ↳ H6 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
C2 — C3 bond bundle,3.67537320,3.72578820,0.05041500,1.37169744,43.36375600,44.29989000,0.93613400,2.15879362,
      ↳ C2 bond wedge,1.83768660,1.86289410,0.02520750,1.37169744,21.68187800,22.14994500,0.46806700,2.15879362,
      ↳ C3 bond wedge,1.83768660,1.86289410,0.02520750,1.37169744,21.68187800,22.14994500,0.46806700,2.15879362,
C2 — H4 bond bundle,2.76018961,2.69678320,-0.06340641,-2.29717588,75.76085400,78.83758100,3.07672700,4.06110390,
      ↳ C2 bond wedge,1.81467550,1.68552090,-0.12915460,-7.11722840,27.95960300,26.14258500,-1.81701800,-6.49872604,
      ↳ H4 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C3 — C4 bond bundle,4.73967750,4.77129990,0.03162240,0.66718463,70.62382300,71.51413700,0.89031400,1.26064260,
      ↳ C3 bond wedge,2.36159510,2.49454720,0.13295210,5.62975846,34.14353000,37.48694100,3.34341100,9.79222418,
      ↳ C4 bond wedge,2.37808240,2.27675270,-0.10132970,-4.26098356,36.48029300,34.02719600,-2.45309700,-6.72444435,
C3 — H3 bond bundle,2.76018961,2.69678320,-0.06340641,-2.29717588,75.76085400,78.83758100,3.07672700,4.06110390,
      ↳ C3 bond wedge,1.81467550,1.68552090,-0.12915460,-7.11722840,27.95960300,26.14258500,-1.81701800,-6.49872604,
