Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
      ↳ C2 bond wedge,1.83640700,1.71255940,-0.12384760,-6.74401699,21.66698100,20.00482800,-1.66215300,-7.67136409,
      ↳ C3 bond wedge,1.83640700,1.96579570,0.12938870,7.04575293,21.66698100,23.67456100,2.00758000,9.26561942,
C2 — H4 bond bundle,2.76275211,2.76655480,0.00380269,0.13764138,75.70946800,74.88944300,-0.82002500,-1.08312081,
      ↳ C2 bond wedge,1.81723800,1.84782080,0.03058280,1.68292761,27.90821700,28.83650800,0.92829100,3.32622826,
      ↳ H4 bond wedge,0.94551411,0.91873400,-0.02678011,-2.83233319,47.80125100,46.05293500,-1.74831600,-3.65746913,
C3 — C4 bond bundle,4.76351090,4.87864020,0.11512930,2.41690011,71.35714300,74.95692100,3.59977800,5.04473392,
      ↳ C3 bond wedge,2.36031220,2.28048340,-0.07982880,-3.38212886,34.20981300,32.21833200,-1.99148100,-5.82137353,
      ↳ C4 bond wedge,2.40319870,2.59815680,0.19495810,8.11244197,37.14733000,42.73858900,5.59125900,15.05157706,
C3 — H3 bond bundle,2.76275211,2.72550228,-0.03724983,-1.34828709,75.70946800,76.02962500,0.32015700,0.42287578,
      ↳ C3 bond wedge,1.81723800,1.75576070,-0.06147730,-3.38300762,27.90821700,26.50133600,-1.40688100,-5.04109954,
      ↳ H3 bond wedge,0.94551411,0.96974158,0.02422747,2.56235943,47.80125100,49.52828900,1.72703800,3.61295565,
C4 — H1 bond bundle,2.75483222,2.69796340,-0.05686882,-2.06432971,78.76391200,83.09626100,4.33234900,5.50042385,
      ↳ C4 bond wedge,1.81757520,1.67891020,-0.13866500,-7.62912038,30.76316500,28.92724500,-1.83592000,-5.96791650,
      ↳ H1 bond wedge,0.93725702,1.01905320,0.08179618,8.72718777,48.00074700,54.16901600,6.16826900,12.85036043,
C4 — H2 bond bundle,2.76566989,2.76494098,-0.00072891,-0.02635564,77.66167200,79.10729200,1.44562000,1.86143301,
      ↳ C4 bond wedge,1.81715310,1.81618360,-0.00096950,-0.05335269,29.83720900,30.93797900,1.10077000,3.68925257,
      ↳ H2 bond wedge,0.94851679,0.94875738,0.00024059,0.02536486,47.82446300,48.16931300,0.34485000,0.72107448,
Total,29.76634424,29.76381764,-0.00252660,-0.00848811,650.31835200,651.85080500,1.53245300,0.23564659,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — C2 bond bundle,4.73967750,4.68505430,-0.05462320,-1.15246660,70.62382300,68.40630200,-2.21752100,-3.13990507,
      ↳ C1 bond wedge,2.37808240,2.24840800,-0.12967440,-5.45289768,36.48029300,32.62258100,-3.85771200,-10.57478349,
      ↳ C2 bond wedge,2.36159510,2.43664630,0.07505120,3.17798762,34.14353000,35.78372100,1.64019100,4.80381203,
C1 — H5 bond bundle,2.74253822,2.79867029,0.05613207,2.04671970,78.69684900,75.17588700,-3.52096200,-4.47408256,
      ↳ C1 bond wedge,1.80528120,1.94038780,0.13510660,7.48396427,30.69610200,32.38203200,1.68593000,5.49232603,
      ↳ H5 bond wedge,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,
C1 — H6 bond bundle,2.80308009,2.74107199,-0.06200810,-2.21214157,78.39577200,75.93109700,-2.46467500,-3.14388766,
