Region,I: Area Bader charge,,,,I: Average curvature,,,,I: Average curvature-scaled torsion,,,,I: Average net plane curvature,,,,I: Average torsion,,,,I: Deformation (kinetic) energy,,,,I: Deformation (kinetic) negative energy,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation charge,,,,I: Deformation negative charge,,,,I: Deformation negative volume,,,,I: Deformation positive charge,,,,I: Deformation positive volume,,,,I: Deformation volume,,,,I: Electron Density SCF,,,,I: Electron Localization Function SCF,,,,I: Gradient bundle partition function contribution (from IN Te),,,,I: Gradient bundle probability (from IN Te),,,,I: Kinetic Energy Density SCF,,,,I: Solid angle (alpha),,,,I: Te per electron,,,,I: Te per valence electron,,,,I: Valence Bader charge,,,,I: Valence density,,,,I: Volume,,,,I: Volume Bader charge,,,,I: Volume fraction,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
C3 — H3 bond bundle,0.08343147,0.12951969,0.04608823,55.24082125,1832.63641000,1914.57715000,81.94074000,4.47119459,76.52918200,80.84703100,4.31784900,5.64209480,1276.82822000,1350.87786000,74.04964000,5.79949901,1392.75973200,1376.92457300,-15.83515900,-1.13696272,-0.03492925,-0.02015777,0.01477149,-42.28973063,-0.39934302,-0.40725370,-0.00791068,1.98092357,0.36441377,0.38709593,0.02268216,6.22428730,-0.03324019,-0.00566849,0.02757170,-82.94687202,-0.73824142,-0.74808165,-0.00984023,1.33292846,-18.21691260,-18.71966840,-0.50275580,2.75982990,0.70500123,0.74241315,0.03741192,5.30664606,20.34471160,21.66078700,1.31607540,6.46888207,2.12779892,2.94111830,0.81331937,38.22350702,2.76275211,2.77625018,0.01349807,0.48857333,39.61808300,38.36451800,-1.25356500,-3.16412331,3218.12977450,3299.64109150,81.51131700,2.53287850,1.32041682,1.31771047,-0.00270635,-0.20496179,2.40655862,2.45279327,0.04623465,1.92119359,1.30769726,1.31762832,0.00993106,0.75943112,5787.59850000,5997.25570000,209.65720000,3.62252496,7131.58860000,7397.92060000,266.33200000,3.73453959,0.03324019,0.00566849,-0.02757170,-82.94687202,2.14735761,2.14099358,-0.00636403,-0.29636563,75.70946800,72.53410600,-3.17536200,-4.19414121,0.23580709,0.34453856,0.10873147,46.11034746,1.33309320,1.35346480,0.02037160,1.52814522,
      ↳ C3 bond wedge,0.02894558,0.01000647,-0.01893910,-65.43004242,355.56161000,363.46745000,7.90584000,2.22347964,10.13015800,11.43054200,1.30038400,12.83675931,145.20222000,153.26036000,8.05814000,5.54959835,94.64683200,96.92387300,2.27704100,2.40582907,-0.03492925,-0.02015777,0.01477149,-42.28973106,-0.23413376,-0.24459152,-0.01045776,4.46657500,0.19920451,0.22443375,0.02522924,12.66499438,-0.03324019,-0.00566849,0.02757170,-82.94686968,-0.40281983,-0.42118630,-0.01836647,4.55947514,-7.48813360,-7.87312940,-0.38499580,5.14141201,0.36957964,0.41551780,0.04593816,12.42984056,9.61593260,10.81424800,1.19831540,12.46176996,2.12779890,2.94111830,0.81331940,38.22350881,1.81723800,1.89576340,0.07852540,4.32114010,10.06309000,10.46573900,0.40264900,4.00124614,8.06637450,8.26799150,0.20161700,2.49947483,0.32041682,0.31771047,-0.00270635,-0.84463419,1.81597670,1.88854630,0.07256960,3.99617462,0.30769726,0.31762832,0.00993106,3.22754255,1971.80330000,2012.26780000,40.46450000,2.05215703,3315.79340000,3412.93270000,97.13930000,2.92959447,0.03324019,0.00566849,-0.02757170,-82.94686968,1.20184350,1.26050680,0.05866330,4.88110973,27.90821700,29.00903900,1.10082200,3.94443687,0.18132120,0.22502534,0.04370414,24.10316058,0.33309320,0.35346480,0.02037160,6.11588588,
      ↳ H3 bond wedge,0.05448589,0.11951322,0.06502733,119.34709666,1477.07480000,1551.10970000,74.03490000,5.01226478,66.39902400,69.41648900,3.01746500,4.54444180,1131.62600000,1197.61750000,65.99150000,5.83156449,1298.11290000,1280.00070000,-18.11220000,-1.39527155,0.00000000,-0.00000000,-0.00000000,-189.93752100,-0.16520926,-0.16266218,0.00254708,-1.54172956,0.16520926,0.16266218,-0.00254708,-1.54172956,0.00000000,0.00000000,0.00000000,303.32521133,-0.33542159,-0.32689535,0.00852624,-2.54194728,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.33542159,0.32689535,-0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.94551411,0.88048678,-0.06502733,-6.87745739,29.55499300,27.89877900,-1.65621400,-5.60383824,3210.06340000,3291.37310000,81.30970000,2.53296243,1.00000000,1.00000000,0.00000000,0.00000000,0.59058192,0.56424697,-0.02633495,-4.45915276,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,3815.79520000,3984.98790000,169.19270000,4.43400893,-0.00000000,-0.00000000,-0.00000000,303.32521133,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.05448589,0.11951322,0.06502733,119.34709666,1.00000000,1.00000000,0.00000000,0.00000000,
C4 — H1 bond bundle,0.07659491,0.05717082,-0.01942409,-25.35950847,1800.08266000,1776.82668000,-23.25598000,-1.29193956,65.56175700,67.62705200,2.06529500,3.15015200,1320.91450000,1299.61012000,-21.30438000,-1.61285079,1652.28240000,1560.62990000,-91.65250000,-5.54702392,-0.03639169,-0.03104488,0.00534680,-14.69237212,-0.39135324,-0.38348680,0.00786644,-2.01006129,0.35496156,0.35244192,-0.00251964,-0.70983461,-0.02542868,-0.01587148,0.00955720,-37.58435091,-0.72750884,-0.71563053,0.01187831,-1.63273755,-20.40175320,-20.35973240,0.04202080,-0.20596661,0.70208016,0.69975905,-0.00232111,-0.33060470,21.32861930,21.59168710,0.26306780,1.23340286,0.92686606,1.23195473,0.30508867,32.91615497,2.75483222,2.75586033,0.00102811,0.03732024,42.65261000,42.63766800,-0.01494200,-0.03503185,3242.85078310,3243.92168620,1.07090310,0.03302351,1.32026547,1.30960591,-0.01065956,-0.80738005,2.37859809,2.36698072,-0.01161737,-0.48841248,1.30523785,1.30217185,-0.00306600,-0.23489972,5803.45210000,5709.16800000,-94.28410000,-1.62462097,7089.33810000,6916.82640000,-172.51170000,-2.43339643,0.02542868,0.01587148,-0.00955720,-37.58435091,2.14435652,2.15151653,0.00716001,0.33390017,78.76391200,79.67678600,0.91287400,1.15900033,0.13348828,0.13114157,-0.00234671,-1.75798802,1.31472008,1.31450031,-0.00021977,-0.01671611,
      ↳ C4 bond wedge,0.01385193,-0.00372385,-0.01757578,-126.88323193,327.68466000,302.11708000,-25.56758000,-7.80249524,10.90434200,10.84687800,-0.05746400,-0.52698274,161.66450000,146.38352000,-15.28098000,-9.45227926,330.77450000,253.57220000,-77.20230000,-23.33985842,-0.03639169,-0.03104488,0.00534680,-14.69237232,-0.22639860,-0.21807229,0.00832631,-3.67772151,0.19000692,0.18702741,-0.00297951,-1.56810605,-0.02542868,-0.01587148,0.00955721,-37.58435209,-0.38835490,-0.37480136,0.01355354,-3.48998815,-8.85347220,-8.61474540,0.23872680,-2.69642006,0.36292622,0.35892988,-0.00399634,-1.10114392,9.78033830,9.84670010,0.06636180,0.67852254,0.92686605,1.23195470,0.30508865,32.91615331,1.81757520,1.81675500,-0.00082020,-0.04512606,11.74182100,12.10910600,0.36728500,3.12800715,7.91298310,7.44808620,-0.46489690,-5.87511554,0.32026547,0.30960591,-0.01065956,-3.32835132,1.79559740,1.78393650,-0.01166090,-0.64941618,0.30523785,0.30217185,-0.00306600,-1.00446259,1960.07030000,1877.24690000,-82.82340000,-4.22553211,3245.95630000,3084.90530000,-161.05100000,-4.96158867,0.02542868,0.01587148,-0.00955721,-37.58435209,1.20709950,1.21241120,0.00531170,0.44003829,30.76316500,31.42729800,0.66413300,2.15885784,0.07074530,0.07024691,-0.00049839,-0.70448497,0.31472008,0.31450031,-0.00021977,-0.06983031,
      ↳ H1 bond wedge,0.06274298,0.06089467,-0.00184832,-2.94585611,1472.39800000,1474.70960000,2.31160000,0.15699559,54.65741500,56.78017400,2.12275900,3.88375301,1159.25000000,1153.22660000,-6.02340000,-0.51959457,1321.50790000,1307.05770000,-14.45020000,-1.09346301,-0.00000000,-0.00000000,-0.00000000,201.59190112,-0.16495464,-0.16541451,-0.00045987,0.27878573,0.16495464,0.16541451,0.00045987,0.27878573,0.00000000,-0.00000000,-0.00000000,-265.25218825,-0.33915394,-0.34082917,-0.00167523,0.49394384,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.33915394,0.34082917,0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,0.00000001,0.00000003,0.00000002,160.36267833,0.93725702,0.93910533,0.00184831,0.19720418,30.91078900,30.52856200,-0.38222700,-1.23654883,3234.93780000,3236.47360000,1.53580000,0.04747541,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.58304422,0.00004353,0.00746654,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,3843.38180000,3831.92110000,-11.46070000,-0.29819312,-0.00000000,0.00000000,0.00000000,-265.25218825,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.06274298,0.06089467,-0.00184832,-2.94585611,1.00000000,1.00000000,0.00000000,0.00000000,
C4 — H2 bond bundle,0.06642015,0.00829293,-0.05812721,-87.51443011,2109.47233000,2013.89767000,-95.57466000,-4.53073779,83.81666600,83.86855000,0.05188400,0.06190177,1328.27215000,1258.01022000,-70.26193000,-5.28972395,3128.52153000,3138.08159000,9.56006000,0.30557757,-0.02736481,-0.03224093,-0.00487611,17.81891683,-0.38640707,-0.36953760,0.01686947,-4.36572499,0.35904226,0.33729668,-0.02174558,-6.05655167,-0.02651788,-0.03814119,-0.01162331,43.83198819,-0.72956118,-0.70265915,0.02690203,-3.68742619,-20.32300150,-19.66035220,0.66264930,-3.26058776,0.70304330,0.66451796,-0.03852534,-5.47979619,20.31311110,18.95393380,-1.35917730,-6.69113310,-0.00989043,-0.70641845,-0.69652802,7042.44771605,2.76566989,2.72140100,-0.04426889,-1.60065705,38.09119900,38.96991000,0.87871100,2.30686096,3223.50631290,3151.10169140,-72.40462150,-2.24614486,1.31728378,1.29096680,-0.02631698,-1.99782161,2.39338996,2.31108008,-0.08230988,-3.43905011,1.30534834,1.28828232,-0.01706602,-1.30739202,5763.88500000,5448.07530000,-315.80970000,-5.47911174,7069.83230000,6612.64950000,-457.18280000,-6.46667107,0.02651788,0.03814119,0.01162331,43.83198819,2.15497319,2.14483640,-0.01013679,-0.47039054,77.66167200,80.46871600,2.80704400,3.61445218,0.06581305,-0.03412283,-0.09993588,-151.84812440,1.30524716,1.28121303,-0.02403413,-1.84134704,
      ↳ C4 bond wedge,0.01493694,0.01944658,0.00450965,30.19124134,390.98343000,363.49517000,-27.48826000,-7.03054347,11.19851700,10.83046300,-0.36805400,-3.28663161,181.30645000,174.56972000,-6.73673000,-3.71565932,593.01013000,594.91249000,1.90236000,0.32079722,-0.02736481,-0.03224093,-0.00487611,17.81891585,-0.22132348,-0.20322651,0.01809697,-8.17670588,0.19395867,0.17098559,-0.02297308,-11.84431714,-0.02651788,-0.03814119,-0.01162331,43.83198054,-0.39062074,-0.35935013,0.03127061,-8.00536346,-9.39106150,-8.90084020,0.49022130,-5.22008401,0.36410286,0.32120894,-0.04289392,-11.78071493,9.38117110,8.19442180,-1.18674930,-12.65033211,-0.00989042,-0.70641844,-0.69652802,7042.44871026,1.81715310,1.71024730,-0.10690580,-5.88314766,11.12533600,10.53890900,-0.58642700,-5.27109473,7.83931290,6.99969140,-0.83962150,-10.71039657,0.31728378,0.29096680,-0.02631698,-8.29446119,1.80528740,1.69931360,-0.10597380,-5.87018998,0.30534834,0.28828232,-0.01706602,-5.58903317,1958.96960000,1808.63050000,-150.33910000,-7.67439678,3264.91690000,2973.20470000,-291.71220000,-8.93475114,0.02651788,0.03814119,0.01162331,43.83198054,1.20645640,1.13368270,-0.07277370,-6.03202072,29.83720900,28.10097600,-1.73623300,-5.81901947,0.01432984,-0.02296918,-0.03729902,-260.28917003,0.30524716,0.28121303,-0.02403413,-7.87366212,
      ↳ H2 bond wedge,0.05148321,-0.01115365,-0.06263686,-121.66463785,1718.48890000,1650.40250000,-68.08640000,-3.96199242,72.61814900,73.03808700,0.41993800,0.57828243,1146.96570000,1083.44050000,-63.52520000,-5.53854400,2535.51140000,2543.16910000,7.65770000,0.30201797,0.00000000,-0.00000000,-0.00000000,-648.14395986,-0.16508359,-0.16631109,-0.00122750,0.74356270,0.16508359,0.16631109,0.00122750,0.74356270,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.33894044,-0.34330902,-0.00436858,1.28889312,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.33894044,0.34330902,0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.94851679,1.01115370,0.06263691,6.60366908,26.96586300,28.43100100,1.46513800,5.43330655,3215.66700000,3144.10200000,-71.56500000,-2.22551029,1.00000000,1.00000000,0.00000000,0.00000000,0.58810256,0.61176648,0.02366392,4.02377436,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,3804.91540000,3639.44480000,-165.47060000,-4.34886410,-0.00000000,0.00000000,0.00000000,-172.70135199,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.05148321,-0.01115365,-0.06263686,-121.66463827,1.00000000,1.00000000,0.00000000,0.00000000,
Total,0.23365562,0.23612676,0.00247114,1.05759819,13880.47226000,13864.74444000,-15.72782000,-0.11330897,520.19299700,534.03176020,13.83876320,2.66031325,9233.68114000,9232.08110000,-1.60004000,-0.01732830,14630.09292400,14689.45356600,59.36064200,0.40574344,-0.00000000,0.00000000,0.00000000,-166.00933318,-3.89417742,-3.89261370,0.00156372,-0.04015534,3.89417744,3.89261372,-0.00156372,-0.04015534,0.00000000,-0.00000000,-0.00000000,-154.26120590,-7.11883906,-7.10996934,0.00886972,-0.12459503,-179.92391080,-180.12859360,-0.20468280,0.11376076,7.11883908,7.10996932,-0.00886976,-0.12459560,179.92390980,180.12859560,0.20468580,0.11376242,0.00000010,-0.00000013,-0.00000023,-222.95625874,29.76634424,29.76387342,-0.00247082,-0.00830072,316.37175420,316.35262060,-0.01913360,-0.00604782,19421.10080700,19444.05806820,22.95726120,0.11820783,10.00000000,10.00000002,0.00000002,0.00000020,27.55774774,27.54949934,-0.00824840,-0.02993133,9.99999998,10.00000000,0.00000002,0.00000020,48219.10460000,48132.05980000,-87.04480000,-0.18051932,65075.15740000,65060.15000000,-15.00740000,-0.02306164,-0.00000000,0.00000000,0.00000000,-154.26120590,21.76634464,21.76387322,-0.00247142,-0.01135432,650.31835200,652.28106000,1.96270800,0.30180726,0.23365562,0.23612674,0.00247112,1.05759065,10.00000002,10.00000000,-0.00000002,-0.00000020,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — C2 bond bundle,-0.04241469,-0.14475361,-0.10233892,241.28179980,759.93304000,831.00997000,71.07693000,9.35305168,22.62503800,25.06817800,2.44314000,10.79839070,372.57835000,456.23202000,83.65367000,22.45263849,820.65441000,980.72326000,160.06885000,19.50502526,0.02123459,0.12788916,0.10665457,502.26803039,-0.50499566,-0.52954168,-0.02454602,4.86063979,0.52623026,0.65743083,0.13120057,24.93215993,0.02515883,0.12365928,0.09850045,391.51442655,-0.88625865,-0.95061374,-0.06435509,7.26143435,-19.17203450,-21.86744920,-2.69541470,14.05909581,0.91141748,1.07427302,0.16285554,17.86838014,21.20787310,22.70572900,1.49785590,7.06273511,2.03583874,0.83827952,-1.19755922,-58.82387423,4.21615840,4.76475400,0.54859560,13.01174074,25.57834000,30.43209300,4.85375300,18.97602816,17.35093190,18.81488270,1.46395080,8.43730359,0.69540169,0.75237406,0.05697237,8.19272815,4.20140200,4.75388180,0.55247980,13.14989139,0.69562395,0.77000008,0.07437613,10.69200248,4394.71760000,4892.22280000,497.50520000,11.32052717,7333.73350000,8157.71890000,823.98540000,11.23555144,-0.02515883,-0.12365928,-0.09850045,391.51442655,2.82491050,3.22475390,0.39984340,14.15419710,64.71483900,71.22283800,6.50799900,10.05642462,0.10546693,-0.07609040,-0.18155733,-172.14621098,0.72027089,0.78144394,0.06117305,8.49306155,
      ↳ C1 bond wedge,0.03453046,-0.09233324,-0.12686369,-367.39651802,387.71171000,439.40045000,51.68874000,13.33174590,11.20198500,13.63431300,2.43232800,21.71336598,180.43978000,250.78384000,70.34406000,38.98478484,586.34047000,742.11942000,155.77895000,26.56800238,-0.04057632,0.07208444,0.11266076,-277.65151721,-0.23453498,-0.26226173,-0.02772675,11.82201052,0.19395867,0.33434617,0.14038750,72.38011067,-0.04647173,0.06622189,0.11269362,-242.49930963,-0.41057458,-0.48082830,-0.07025372,17.11107395,-9.58562550,-12.39124600,-2.80562050,29.26903935,0.36410286,0.54705019,0.18294733,50.24605684,9.38117110,11.82647700,2.44530590,26.06610490,-0.20445446,-0.56476888,-0.36031442,176.23211545,1.85456330,2.50825090,0.65368760,35.24752161,11.40171200,17.57182000,6.17010800,54.11562755,8.22860140,9.35176140,1.12316000,13.64946417,0.33303962,0.38873886,0.05569924,16.72450863,1.84909710,2.49060090,0.64150380,34.69281305,0.31484896,0.40265295,0.08780399,27.88765445,2005.77770000,2514.17170000,508.39400000,25.34647783,3360.33510000,4141.25720000,780.92210000,23.23941145,0.04647173,-0.06622189,-0.11269362,-242.49930963,1.22486540,1.70294500,0.47807960,39.03119477,30.57130900,39.67142100,9.10011200,29.76683792,0.02198053,-0.12624388,-0.14822441,-674.34419111,0.31275731,0.39700117,0.08424386,26.93585643,
      ↳ C2 bond wedge,-0.07694515,-0.05242038,0.02452477,-31.87305450,372.22133000,391.60952000,19.38819000,5.20877995,11.42305300,11.43386500,0.01081200,0.09465070,192.13857000,205.44818000,13.30961000,6.92708913,234.31394000,238.60384000,4.28990000,1.83083431,0.06181091,0.05580472,-0.00600619,-9.71703894,-0.27046068,-0.26727995,0.00318073,-1.17604156,0.33227159,0.32308466,-0.00918693,-2.76488580,0.07163056,0.05743739,-0.01419317,-19.81441049,-0.47568407,-0.46978544,0.00589863,-1.24003101,-9.58640900,-9.47620320,0.11020580,-1.14960461,0.54731462,0.52722283,-0.02009179,-3.67097630,11.82670200,10.87925200,-0.94745000,-8.01110910,2.24029320,1.40304840,-0.83724480,-37.37210826,2.36159510,2.25650310,-0.10509200,-4.45004311,14.17662800,12.86027300,-1.31635500,-9.28538860,9.12233050,9.46312130,0.34079080,3.73578660,0.36236207,0.36363520,0.00127313,0.35134196,2.35230490,2.26328090,-0.08902400,-3.78454341,0.38077499,0.36734713,-0.01342786,-3.52645535,2388.93990000,2378.05110000,-10.88880000,-0.45580050,3973.39840000,4016.46170000,43.06330000,1.08379014,-0.07163056,-0.05743739,0.01419317,-19.81441049,1.60004510,1.52180890,-0.07823620,-4.88962467,34.14353000,31.55141700,-2.59211300,-7.59181315,0.08348641,0.05015348,-0.03333292,-39.92616714,0.40751358,0.38444277,-0.02307081,-5.66135980,
C1 — H5 bond bundle,0.07057263,0.06371576,-0.00685687,-9.71605054,1799.05453000,1776.91323000,-22.14130000,-1.23071867,65.53025500,67.66782100,2.13756600,3.26195282,1320.64762000,1299.66998000,-20.97764000,-1.58843583,1652.28240000,1560.62990000,-91.65250000,-5.54702392,-0.03329309,-0.03561006,-0.00231698,6.95933424,-0.38825464,-0.38805198,0.00020266,-0.05219770,0.35496156,0.35244192,-0.00251964,-0.70983461,-0.01929062,-0.02266308,-0.00337245,17.48234038,-0.72137078,-0.72242213,-0.00105135,0.14574336,-20.17042160,-20.38837540,-0.21795380,1.08056145,0.70208016,0.69975905,-0.00232111,-0.33060470,21.32861930,21.59168710,0.26306780,1.23340286,1.15819771,1.20331183,0.04511412,3.89520018,2.74253822,2.77213693,0.02959871,1.07924512,42.64832000,42.77923900,0.13091900,0.30697340,3242.76990860,3244.05384260,1.28393400,0.03959374,1.31699220,1.31509945,-0.00189275,-0.14371763,2.36337489,2.38526172,0.02188683,0.92608372,1.30218515,1.30597545,0.00379030,0.29107228,5788.46470000,5727.06290000,-61.40180000,-1.06076141,7059.22560000,6950.19090000,-109.03470000,-1.54457027,0.01929062,0.02266308,0.00337245,17.48234038,2.13816792,2.16018603,0.02201811,1.02976524,78.69684900,80.02822800,1.33137900,1.69178184,0.14166572,0.13596670,-0.00569903,-4.02286803,1.31403400,1.31801727,0.00398327,0.30313295,
      ↳ C1 bond wedge,0.00782965,0.00282110,-0.00500855,-63.96906754,326.65653000,302.20363000,-24.45290000,-7.48581392,10.87284000,10.88764700,0.01480700,0.13618337,161.39762000,146.44338000,-14.95424000,-9.26546500,330.77450000,253.57220000,-77.20230000,-23.33985842,-0.03329309,-0.03561006,-0.00231698,6.95933405,-0.22330000,-0.22263747,0.00066253,-0.29669951,0.19000692,0.18702741,-0.00297951,-1.56810605,-0.01929062,-0.02266308,-0.00337245,17.48233844,-0.38221684,-0.38159296,0.00062388,-0.16322672,-8.62214060,-8.64338840,-0.02124780,0.24643300,0.36292622,0.35892988,-0.00399634,-1.10114392,9.78033830,9.84670010,0.06636180,0.67852254,1.15819770,1.20331180,0.04511410,3.89519855,1.80528120,1.83303160,0.02775040,1.53717881,11.73753100,12.25067700,0.51314600,4.37183936,7.83210860,7.58024260,-0.25186600,-3.21581343,0.31699220,0.31509945,-0.00189275,-0.59709671,1.78037420,1.80221750,0.02184330,1.22689376,0.30218515,0.30597545,0.00379030,1.25429724,1945.08290000,1895.14180000,-49.94110000,-2.56755638,3215.84380000,3118.26980000,-97.57400000,-3.03416478,0.01929062,0.02266308,0.00337245,17.48233844,1.20091090,1.22108070,0.02016980,1.67954175,30.69610200,31.77874000,1.08263800,3.52695596,0.07892274,0.07507203,-0.00385071,-4.87908440,0.31403400,0.31801727,0.00398327,1.26841998,
      ↳ H5 bond wedge,0.06274298,0.06089467,-0.00184832,-2.94585611,1472.39800000,1474.70960000,2.31160000,0.15699559,54.65741500,56.78017400,2.12275900,3.88375301,1159.25000000,1153.22660000,-6.02340000,-0.51959457,1321.50790000,1307.05770000,-14.45020000,-1.09346301,-0.00000000,-0.00000000,-0.00000000,201.59190112,-0.16495464,-0.16541451,-0.00045987,0.27878573,0.16495464,0.16541451,0.00045987,0.27878573,0.00000000,-0.00000000,-0.00000000,-265.25218825,-0.33915394,-0.34082917,-0.00167523,0.49394384,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.33915394,0.34082917,0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,0.00000001,0.00000003,0.00000002,160.36267833,0.93725702,0.93910533,0.00184831,0.19720418,30.91078900,30.52856200,-0.38222700,-1.23654883,3234.93780000,3236.47360000,1.53580000,0.04747541,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.58304422,0.00004353,0.00746654,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,3843.38180000,3831.92110000,-11.46070000,-0.29819312,-0.00000000,0.00000000,0.00000000,-265.25218825,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.06274298,0.06089467,-0.00184832,-2.94585611,1.00000000,1.00000000,0.00000000,0.00000000,
C1 — H6 bond bundle,-0.02880389,0.01351023,0.04231411,-146.90417467,2153.58127000,2010.33814000,-143.24313000,-6.65139189,85.80714700,83.84688400,-1.96026300,-2.28449852,1399.18768000,1256.82878000,-142.35890000,-10.17439633,3178.83831000,3132.40075000,-46.43756000,-1.46083429,0.07386940,-0.03647438,-0.11034378,-149.37684306,-0.41774331,-0.37377105,0.04397226,-10.52614343,0.49161271,0.33729668,-0.15431603,-31.38975597,0.06576235,-0.04355882,-0.10932117,-166.23670951,-0.80416568,-0.70807678,0.09608890,-11.94889342,-22.97015600,-19.59247670,3.37767930,-14.70464241,0.86992804,0.66451796,-0.20541008,-23.61230706,22.01641200,18.95393380,-3.06247820,-13.90997861,-0.95374321,-0.63854295,0.31520026,-33.04875548,3.32659919,2.73471950,-0.59187969,-17.79233554,42.80089500,39.12132000,-3.67957500,-8.59695808,3224.31386510,3151.22666320,-73.08720190,-2.26675209,1.34996818,1.29616169,-0.05380649,-3.98575987,2.96047236,2.32540228,-0.63507008,-21.45164699,1.38296589,1.29137161,-0.09159428,-6.62303247,6159.73830000,5461.96290000,-697.77540000,-11.32800398,7689.62100000,6638.39880000,-1051.22220000,-13.67066335,-0.06576235,0.04355882,0.10932117,-166.23670951,2.56066739,2.15197630,-0.40869109,-15.96033486,84.30475600,80.84529700,-3.45945900,-4.10351582,-0.08734704,-0.02483006,0.06251698,-71.57309084,1.37320869,1.28498156,-0.08822713,-6.42488870,
      ↳ C1 bond wedge,-0.08028710,0.02466388,0.10495097,-130.71960157,435.09237000,359.93564000,-75.15673000,-17.27374121,13.18899800,10.80879700,-2.38020100,-18.04686755,252.22198000,173.38828000,-78.83370000,-31.25568200,643.32691000,589.23165000,-54.09526000,-8.40867359,0.07386940,-0.03647438,-0.11034378,-149.37684279,-0.25265972,-0.20745996,0.04519976,-17.88957892,0.32652912,0.17098559,-0.15554353,-47.63542376,0.06576235,-0.04355882,-0.10932117,-166.23670942,-0.46522524,-0.36476776,0.10045748,-21.59329962,-12.03821600,-8.83296470,3.20525130,-26.62563373,0.53098760,0.32120894,-0.20977866,-39.50726156,11.08447200,8.19442180,-2.89005020,-26.07296225,-0.95374321,-0.63854294,0.31520027,-33.04875638,2.37808240,1.72356580,-0.65451660,-27.52287305,15.83503200,10.69031900,-5.14471300,-32.48943861,8.64686510,7.12466320,-1.52220190,-17.60408983,0.34996818,0.29616169,-0.05380649,-15.37468064,2.37236980,1.71363580,-0.65873400,-27.76691897,0.38296589,0.29137161,-0.09159428,-23.91708567,2354.82290000,1822.51810000,-532.30480000,-22.60487615,3884.70560000,2998.95400000,-885.75160000,-22.80099681,-0.06576235,0.04355882,0.10932117,-166.23670942,1.61215060,1.14082260,-0.47132800,-29.23597833,36.48029300,28.47755700,-8.00273600,-21.93714837,-0.13883025,-0.01367641,0.12515384,-90.14882347,0.37320869,0.28498156,-0.08822713,-23.64015961,
