Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
Total,29.76634444,29.76472370,-0.00162074,-0.00544487,650.31835200,651.43534000,1.11698800,0.17176018,27.55774774,27.55324790,-0.00449984,-0.01632877,316.37175400,316.31955600,-0.05219800,-0.01649894,21.76634444,21.76472370,-0.00162074,-0.00744608,0.23365562,0.23527618,0.00162056,0.69356860,0.00000000,-0.00000001,-0.00000001,-367.29488308,0.00000011,-0.00000019,-0.00000031,-276.77833090,-0.00000000,0.00000000,0.00000000,-201.42960197,7.11883914,7.13286646,0.01402732,0.19704505,-7.11883914,-7.13286646,-0.01402732,0.19704505,179.92391200,181.31100000,1.38708800,0.77093033,-179.92391200,-181.31100000,-1.38708800,0.77093033,3.89417742,3.90146838,0.00729096,0.18722722,-3.89417742,-3.90146838,-0.00729096,0.18722722,10.00000000,10.00000000,0.00000000,0.00000000,48219.10460000,48117.57620000,-101.52840000,-0.21055638,
Bond bundle decomposition according to INS: Volume
C1 — H5 bond bundle,2.75278022,2.68725208,-0.06552814,-2.38043486,78.29958000,77.61762800,-0.68195200,-0.87095231,2.37810749,2.29839098,-0.07971651,-3.35209869,42.43786500,42.08834000,-0.34952500,-0.82361589,2.14397562,2.11109388,-0.03288174,-1.53368069,0.07363355,0.04122261,-0.03241094,-44.01653263,-0.02243563,0.01135928,0.03379491,-150.63053461,0.54420862,1.39095538,0.84674676,155.59230865,-0.03186732,-0.01282963,0.01903769,-59.74049529,0.70208016,0.70374428,0.00166412,0.23702707,-0.72451579,-0.69238500,0.03213079,-4.43479500,21.32861930,21.47277260,0.14415330,0.67586794,-20.78441060,-20.08181730,0.70259330,-3.38038597,0.35496156,0.35568940,0.00072784,0.20504756,-0.38682888,-0.36851902,0.01830986,-4.73332291,1.30440229,1.28807911,-0.01632318,-1.25139155,5798.66820000,5644.08410000,-154.58410000,-2.66585524,
      ↳ C1 bond wedge,1.81552320,1.75086770,-0.06465550,-3.56125992,30.29883300,29.62229900,-0.67653400,-2.23287148,1.79510680,1.71585860,-0.07924820,-4.41467884,11.52707600,11.30672900,-0.22034700,-1.91156023,1.20671860,1.17470950,-0.03200910,-2.65257368,0.01089057,-0.02239300,-0.03328357,-305.61832955,-0.02243563,0.01135928,0.03379491,-150.63053503,0.54420861,1.39095540,0.84674679,155.59231781,-0.03186732,-0.01282963,0.01903769,-59.74049591,0.36292622,0.36431046,0.00138424,0.38141086,-0.38536185,-0.35295118,0.03241067,-8.41045111,9.78033830,9.83848760,0.05814930,0.59455305,-9.23612960,-8.44753230,0.78859730,-8.53817924,0.19000692,0.19065613,0.00064921,0.34167703,-0.22187424,-0.20348575,0.01838849,-8.28779853,0.30440229,0.28807911,-0.01632318,-5.36237096,1955.28640000,1814.82120000,-140.46520000,-7.18386831,
      ↳ H5 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,0.58300069,0.58253238,-0.00046831,-0.08032752,30.91078900,30.78161100,-0.12917800,-0.41790586,0.93725702,0.93638438,-0.00087264,-0.09310573,0.06274298,0.06361562,0.00087264,1.39081051,0.00000000,-0.00000000,-0.00000000,-221.17017058,0.00000001,-0.00000002,-0.00000003,-257.54934531,-0.00000000,-0.00000000,-0.00000000,542.62508645,0.33915394,0.33943382,0.00027988,0.08252300,-0.33915394,-0.33943382,-0.00027988,0.08252300,11.54828100,11.63428500,0.08600400,0.74473422,-11.54828100,-11.63428500,-0.08600400,0.74473422,0.16495464,0.16503327,0.00007863,0.04766765,-0.16495464,-0.16503327,-0.00007863,0.04766765,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3829.26290000,-14.11890000,-0.36735617,
C1 — H6 bond bundle,2.67036429,2.70421814,0.03385385,1.26776149,76.34049200,76.52793300,0.18744100,0.24553287,2.27842336,2.32076627,0.04234291,1.85843030,37.62766600,37.61960900,-0.00805700,-0.02141244,2.10762539,2.12452804,0.01690265,0.80197601,0.01785247,0.03485216,0.01699968,95.22311612,0.02295924,0.00633184,-0.01662740,-72.42138236,1.01281020,0.29900612,-0.71380408,-70.47757654,0.00158603,-0.00624499,-0.00783102,-493.74943008,0.70304330,0.70401956,0.00097626,0.13886200,-0.68008406,-0.69768772,-0.01760366,2.58845355,20.31311110,20.38457140,0.07146030,0.35179397,-19.30030080,-20.08556520,-0.78526440,4.06866405,0.35904226,0.35948062,0.00043836,0.12209148,-0.35745622,-0.36572561,-0.00826939,2.31339939,1.28136946,1.28984505,0.00847559,0.66144779,5639.68320000,5636.11100000,-3.57220000,-0.06334044,
      ↳ C1 bond wedge,1.72184750,1.75650350,0.03465600,2.01272180,28.51602900,28.70340900,0.18738000,0.65710412,1.69032080,1.73304020,0.04271940,2.52729541,10.66180300,10.74912300,0.08732000,0.81899844,1.15910860,1.17681340,0.01770480,1.52744963,-0.03363074,-0.01743321,0.01619753,-48.16287839,0.02295924,0.00633184,-0.01662740,-72.42137991,1.01281020,0.29900613,-0.71380407,-70.47757517,0.00158603,-0.00624499,-0.00783102,-493.74945698,0.36410286,0.36477121,0.00066835,0.18356077,-0.34114362,-0.35843937,-0.01729575,5.06993213,9.38117110,9.36612240,-0.01504870,-0.16041387,-8.36836080,-9.06711620,-0.69875540,8.34996742,0.19395867,0.19426938,0.00031071,0.16019392,-0.19237263,-0.20051437,-0.00814174,4.23227566,0.28136946,0.28984505,0.00847559,3.01226366,1834.76780000,1835.36680000,0.59900000,0.03264718,
      ↳ H6 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,0.58810256,0.58772607,-0.00037649,-0.06401775,26.96586300,26.87048600,-0.09537700,-0.35369534,0.94851679,0.94771464,-0.00080215,-0.08456888,0.05148321,0.05228536,0.00080215,1.55808661,0.00000000,-0.00000000,-0.00000000,-132.54354662,-0.00000000,-0.00000001,-0.00000001,848.77374174,0.00000000,0.00000000,0.00000000,559.57726763,0.33894044,0.33924835,0.00030791,0.09084487,-0.33894044,-0.33924835,-0.00030791,0.09084487,10.93194000,11.01844900,0.08650900,0.79134170,-10.93194000,-11.01844900,-0.08650900,0.79134170,0.16508359,0.16521124,0.00012765,0.07732446,-0.16508359,-0.16521124,-0.00012765,0.07732446,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.74420000,-4.17120000,-0.10962662,
C1 — C2 bond bundle,5.04646070,5.08364840,0.03718770,0.73690656,75.82699800,76.88540200,1.05840400,1.39581419,5.08915150,5.13132070,0.04216920,0.82860964,31.85152000,32.29952600,0.44800600,1.40654512,3.36234110,3.38095670,0.01861560,0.55364996,0.00589815,0.02442675,0.01852861,314.14287303,-0.02757995,-0.04724381,-0.01966387,71.29770216,-0.50873580,-0.58299170,-0.07425590,14.59616170,0.02946373,0.01624702,-0.01321670,-44.85754536,1.07830222,1.08110209,0.00279987,0.25965541,-1.10588217,-1.12834590,-0.02246373,2.03129507,22.91117400,23.25663000,0.34545600,1.50780575,-23.41991000,-23.83962200,-0.41971200,1.79211620,0.65880071,0.66044879,0.00164808,0.25016366,-0.62933698,-0.64420176,-0.01486478,2.36197466,0.84205982,0.85134587,0.00928605,1.10277795,5147.03080000,5302.49760000,155.46680000,3.02051427,
      ↳ C1 bond wedge,2.50055630,2.53092980,0.03037350,1.21466971,38.93284200,39.67287100,0.74002900,1.90078341,2.51641340,2.55184260,0.03542920,1.40792447,16.78539600,17.12688100,0.34148500,2.03441730,1.67209980,1.68677820,0.01467840,0.87784234,-0.01518682,0.00152518,0.01671200,-110.04280158,-0.00052361,-0.01769112,-0.01716751,3278.68563744,-1.55701880,-1.68996150,-0.13294270,8.53828483,0.03028129,0.01907462,-0.01120667,-37.00856780,0.53098760,0.53181219,0.00082459,0.15529365,-0.53151121,-0.54950331,-0.01799210,3.38508383,11.08447200,11.25526400,0.17079200,1.54082215,-12.64149100,-12.94522600,-0.30373500,2.40268335,0.32652912,0.32708530,0.00055618,0.17033090,-0.29624783,-0.30801068,-0.01176285,3.97061136,0.41422825,0.42207584,0.00784759,1.89450864,2515.62930000,2624.25400000,108.62470000,4.31799312,
      ↳ C2 bond wedge,2.54590440,2.55271860,0.00681420,0.26765341,36.89415600,37.21253100,0.31837500,0.86294155,2.57273810,2.57947810,0.00674000,0.26197770,15.06612400,15.17264500,0.10652100,0.70702325,1.69024130,1.69417850,0.00393720,0.23293716,0.02108497,0.02290157,0.00181660,8.61562648,-0.02705634,-0.02955269,-0.00249636,9.22651168,1.04828300,1.10696980,0.05868680,5.59837372,-0.00081756,-0.00282760,-0.00201003,245.85695315,0.54731462,0.54928990,0.00197528,0.36090393,-0.57437096,-0.57884259,-0.00447163,0.77852648,11.82670200,12.00136600,0.17466400,1.47686143,-10.77841900,-10.89439600,-0.11597700,1.07601124,0.33227159,0.33336349,0.00109190,0.32861672,-0.33308915,-0.33619108,-0.00310193,0.93126120,0.42783157,0.42927003,0.00143846,0.33622110,2631.40150000,2678.24360000,46.84210000,1.78011983,
C2 — H4 bond bundle,2.71684951,2.73087373,0.01402422,0.51619421,74.96213800,75.02884300,0.06670500,0.08898492,2.35062002,2.36872090,0.01810088,0.77004704,39.33868220,39.25252410,-0.08615810,-0.21901623,2.12581291,2.13274123,0.00692832,0.32591391,0.05626033,0.06352367,0.00726334,12.91023295,-0.00589907,-0.01262525,-0.00672617,114.02086019,2.40088172,2.08458689,-0.31629483,-13.17411133,-0.01760728,-0.02038406,-0.00277678,15.77064413,0.70500123,0.70599153,0.00099030,0.14046784,-0.71090030,-0.71861678,-0.00771648,1.08545179,20.34471160,20.46014790,0.11543630,0.56740200,-17.94382980,-18.37556090,-0.43173110,2.40601424,0.36441377,0.36488998,0.00047621,0.13067838,-0.38202105,-0.38527405,-0.00325300,0.85152376,1.29551831,1.29906624,0.00354793,0.27386182,5726.69580000,5720.75830000,-5.93750000,-0.10368108,
      ↳ C2 bond wedge,1.77133540,1.78640590,0.01507050,0.85079878,27.16088700,27.23881100,0.07792400,0.28689785,1.76003810,1.77867110,0.01863300,1.05867026,9.78368920,9.80729010,0.02360090,0.24122700,1.18029880,1.18827340,0.00797460,0.67564247,0.00177444,0.00799150,0.00621706,350.36778660,-0.00589907,-0.01262525,-0.00672617,114.02084338,2.40088170,2.08458690,-0.31629480,-13.17411016,-0.01760728,-0.02038406,-0.00277678,15.77064445,0.36957964,0.37037387,0.00079423,0.21490091,-0.37547871,-0.38299912,-0.00752041,2.00288586,9.61593260,9.65262790,0.03669530,0.38160937,-7.21505080,-7.56804090,-0.35299010,4.89241323,0.19920451,0.19964265,0.00043814,0.21994482,-0.21681179,-0.22002672,-0.00321493,1.48282065,0.29551831,0.29906624,0.00354793,1.20057874,1910.90060000,1903.28880000,-7.61180000,-0.39833574,
