Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
      ↳ H3 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,0.59058192,0.59004980,-0.00053212,-0.09010096,29.55499300,29.44523400,-0.10975900,-0.37137211,0.94551411,0.94446783,-0.00104628,-0.11065726,0.05448589,0.05553217,0.00104628,1.92026960,0.00000000,-0.00000000,-0.00000000,-379.38948466,0.00000002,-0.00000001,-0.00000003,-128.53788576,0.00000000,0.00000000,0.00000000,72.69055227,0.33542159,0.33561766,0.00019607,0.05845479,-0.33542159,-0.33561766,-0.00019607,0.05845479,10.72877900,10.80752000,0.07874100,0.73392322,-10.72877900,-10.80752000,-0.07874100,0.73392322,0.16520926,0.16524733,0.00003807,0.02304350,-0.16520926,-0.16524733,-0.00003807,0.02304350,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3817.46950000,1.67430000,0.04387814,
C3 — C4 bond bundle,4.76351090,4.77585920,0.01234830,0.25922687,71.35714300,71.90597200,0.54882900,0.76912973,4.75123940,4.76508270,0.01384330,0.29136187,30.30650200,30.56442500,0.25792300,0.85104840,3.22362600,3.22962730,0.00600130,0.18616614,-0.14385593,-0.13716378,0.00669215,-4.65197861,0.12377549,0.11632374,-0.00745174,-6.02037062,1.41023609,1.48327547,0.07303938,5.17923066,0.12502723,0.12010976,-0.00491747,-3.93312164,1.07830222,1.08110209,0.00279987,0.25965541,-0.95452673,-0.96477835,-0.01025162,1.07400031,22.91117400,23.25663000,0.34545600,1.50780575,-21.50093860,-21.77335480,-0.27241620,1.26699678,0.65880071,0.66044879,0.00164808,0.25016366,-0.53377348,-0.54033903,-0.00656555,1.23002552,0.76994250,0.77311590,0.00317340,0.41216065,4773.84580000,4906.76790000,132.92210000,2.78438193,
      ↳ C3 bond wedge,2.36031220,2.37720370,0.01689150,0.71564685,34.20981300,34.67446300,0.46465000,1.35823601,2.35028310,2.36941790,0.01913480,0.81414873,14.19938400,14.35826000,0.15887600,1.11889361,1.59925490,1.60804540,0.00879050,0.54966222,-0.07714007,-0.06972902,0.00741105,-9.60726340,0.07182893,0.06377034,-0.00805858,-11.21913213,2.32721170,2.32782010,0.00060840,0.02614287,0.06127073,0.05595376,-0.00531697,-8.67783673,0.54731462,0.54928990,0.00197528,0.36090393,-0.47548570,-0.48551956,-0.01003386,2.11023381,11.82670200,12.00136600,0.17466400,1.47686143,-9.49949060,-9.67354580,-0.17405520,1.83225825,0.33227159,0.33336349,0.00109190,0.32861672,-0.27100086,-0.27740973,-0.00640887,2.36488917,0.38052869,0.38457911,0.00405042,1.06441908,2387.20220000,2450.46420000,63.26200000,2.65004783,
      ↳ C4 bond wedge,2.40319870,2.39865550,-0.00454320,-0.18904804,37.14733000,37.23150900,0.08417900,0.22660848,2.40095630,2.39566480,-0.00529150,-0.22039135,16.10711800,16.20616500,0.09904700,0.61492689,1.62437110,1.62158190,-0.00278920,-0.17170953,-0.06671586,-0.06743476,-0.00071890,1.07755945,0.05194656,0.05255340,0.00060684,1.16819860,-0.91697561,-0.84454463,0.07243098,-7.89889930,0.06375650,0.06415600,0.00039950,0.62660437,0.53098760,0.53181219,0.00082459,0.15529365,-0.47904103,-0.47925879,-0.00021776,0.04545748,11.08447200,11.25526400,0.17079200,1.54082215,-12.00144800,-12.09980900,-0.09836100,0.81957610,0.32652912,0.32708530,0.00055618,0.17033090,-0.26277262,-0.26292930,-0.00015668,0.05962569,0.38941381,0.38853679,-0.00087702,-0.22521543,2386.64360000,2456.30370000,69.66010000,2.91874748,
C4 — H2 bond bundle,2.76566989,2.75420894,-0.01146095,-0.41440051,77.66167200,77.49204900,-0.16962300,-0.21841276,2.39338996,2.37985037,-0.01353959,-0.56570765,38.09119900,37.97363200,-0.11756700,-0.30864610,2.15497319,2.14889414,-0.00607905,-0.28209400,0.06642015,0.06173545,-0.00468469,-7.05312084,-0.02651788,-0.02104218,0.00547570,-20.64907508,-0.00989043,0.00752985,0.01742028,-176.13275064,-0.02736481,-0.02404445,0.00332036,-12.13369604,0.70304330,0.70401956,0.00097626,0.13886200,-0.72956118,-0.72506175,0.00449943,-0.61673101,20.31311110,20.38457140,0.07146030,0.35179397,-20.32300150,-20.37704150,-0.05404000,0.26590560,0.35904226,0.35948062,0.00043836,0.12209148,-0.38640707,-0.38352507,0.00288200,-0.74584557,1.30534834,1.30265740,-0.00269094,-0.20614727,5763.88500000,5698.82630000,-65.05870000,-1.12873001,
      ↳ C4 bond wedge,1.81715310,1.80649430,-0.01065880,-0.58656588,29.83720900,29.66752500,-0.16968400,-0.56869930,1.80528740,1.79212430,-0.01316310,-0.72914152,11.12533600,11.10314600,-0.02219000,-0.19945465,1.20645640,1.20117950,-0.00527690,-0.43738837,0.01493694,0.00945009,-0.00548685,-36.73340748,-0.02651788,-0.02104218,0.00547570,-20.64907904,-0.00989042,0.00752987,0.01742029,-176.13290723,-0.02736481,-0.02404445,0.00332036,-12.13369519,0.36410286,0.36477121,0.00066835,0.18356077,-0.39062074,-0.38581340,0.00480734,-1.23069246,9.38117110,9.36612240,-0.01504870,-0.16041387,-9.39106150,-9.35859250,0.03246900,-0.34574366,0.19395867,0.19426938,0.00031071,0.16019392,-0.22132348,-0.21831383,0.00300965,-1.35984216,0.30534834,0.30265740,-0.00269094,-0.88126891,1958.96960000,1898.08210000,-60.88750000,-3.10813910,
      ↳ H2 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,0.58810256,0.58772607,-0.00037649,-0.06401775,26.96586300,26.87048600,-0.09537700,-0.35369534,0.94851679,0.94771464,-0.00080215,-0.08456888,0.05148321,0.05228536,0.00080215,1.55808661,0.00000000,-0.00000000,-0.00000000,-132.54354662,-0.00000000,-0.00000001,-0.00000001,848.77374174,0.00000000,0.00000000,0.00000000,559.57726763,0.33894044,0.33924835,0.00030791,0.09084487,-0.33894044,-0.33924835,-0.00030791,0.09084487,10.93194000,11.01844900,0.08650900,0.79134170,-10.93194000,-11.01844900,-0.08650900,0.79134170,0.16508359,0.16521124,0.00012765,0.07732446,-0.16508359,-0.16521124,-0.00012765,0.07732446,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.74420000,-4.17120000,-0.10962662,
C4 — H1 bond bundle,2.75483222,2.76953558,0.01470336,0.53372978,78.76391200,79.09487400,0.33096200,0.42019497,2.37859809,2.39548468,0.01688659,0.70993877,42.65261000,42.65503400,0.00242400,0.00568312,2.14435652,2.15192398,0.00756746,0.35290121,0.07659491,0.08329926,0.00670435,8.75299263,-0.02542868,-0.03151122,-0.00608254,23.91998753,0.92686606,0.83701470,-0.08985136,-9.69410411,-0.03639169,-0.04011155,-0.00371986,10.22173629,0.70208016,0.70374428,0.00166412,0.23702707,-0.72750884,-0.73525550,-0.00774666,1.06482005,21.32861930,21.47277260,0.14415330,0.67586794,-20.40175320,-20.63575790,-0.23400470,1.14698329,0.35496156,0.35568940,0.00072784,0.20504756,-0.39135324,-0.39580094,-0.00444770,1.13649244,1.30523785,1.30880581,0.00356796,0.27335707,5803.45210000,5749.31910000,-54.13300000,-0.93277241,
      ↳ C4 bond wedge,1.81757520,1.83315120,0.01557600,0.85696592,30.76316500,31.09954500,0.33638000,1.09345056,1.79559740,1.81295230,0.01735490,0.96652512,11.74182100,11.87342300,0.13160200,1.12079719,1.20709950,1.21553960,0.00844010,0.69920500,0.01385193,0.01968364,0.00583171,42.10035295,-0.02542868,-0.03151122,-0.00608254,23.91998625,0.92686605,0.83701472,-0.08985133,-9.69410089,-0.03639169,-0.04011155,-0.00371986,10.22173581,0.36292622,0.36431046,0.00138424,0.38141086,-0.38835490,-0.39582168,-0.00746678,1.92266919,9.78033830,9.83848760,0.05814930,0.59455305,-8.85347220,-9.00147290,-0.14800070,1.67166843,0.19000692,0.19065613,0.00064921,0.34167703,-0.22639860,-0.23076767,-0.00436907,1.92981317,0.30523785,0.30880581,0.00356796,1.16891139,1960.07030000,1920.05620000,-40.01410000,-2.04146249,
      ↳ H1 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,0.58300069,0.58253238,-0.00046831,-0.08032752,30.91078900,30.78161100,-0.12917800,-0.41790586,0.93725702,0.93638438,-0.00087264,-0.09310573,0.06274298,0.06361562,0.00087264,1.39081051,0.00000000,-0.00000000,-0.00000000,-221.17017058,0.00000001,-0.00000002,-0.00000003,-257.54934531,-0.00000000,-0.00000000,-0.00000000,542.62508645,0.33915394,0.33943382,0.00027988,0.08252300,-0.33915394,-0.33943382,-0.00027988,0.08252300,11.54828100,11.63428500,0.08600400,0.74473422,-11.54828100,-11.63428500,-0.08600400,0.74473422,0.16495464,0.16503327,0.00007863,0.04766765,-0.16495464,-0.16503327,-0.00007863,0.04766765,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3829.26290000,-14.11890000,-0.36735617,
Total,29.76634424,29.76472390,-0.00162034,-0.00544353,650.31835200,651.43533800,1.11698600,0.17175988,27.55774774,27.55324770,-0.00450004,-0.01632949,316.37175420,316.31955720,-0.05219700,-0.01649863,21.76634464,21.76472370,-0.00162094,-0.00744700,0.23365562,0.23527618,0.00162056,0.69356834,0.00000000,-0.00000000,-0.00000001,-259.55157252,0.00000010,-0.00000017,-0.00000027,-262.71879677,-0.00000000,0.00000000,0.00000000,-238.02659769,7.11883908,7.13286632,0.01402724,0.19704393,-7.11883906,-7.13286634,-0.01402728,0.19704449,179.92390980,181.31100100,1.38709120,0.77093211,-179.92391080,-181.31100160,-1.38709080,0.77093189,3.89417744,3.90146840,0.00729096,0.18722722,-3.89417742,-3.90146838,-0.00729096,0.18722722,9.99999998,10.00000000,0.00000002,0.00000020,48219.10460000,48117.57600000,-101.52860000,-0.21055679,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — H5 bond bundle,2.74253822,2.76979388,0.02725566,0.99381149,78.69684900,79.14030700,0.44345800,0.56350160,2.36337489,2.39557818,0.03220329,1.36259762,42.64832000,42.67340400,0.02508400,0.05881592,2.13816792,2.15200968,0.01384176,0.64736543,0.07057263,0.08355889,0.01298625,18.40125718,-0.01929062,-0.03177415,-0.01248353,64.71294047,1.15819771,0.87398737,-0.28421034,-24.53901766,-0.03329309,-0.04053600,-0.00724291,21.75499859,0.70208016,0.70374428,0.00166412,0.23702707,-0.72137078,-0.73551844,-0.01414766,1.96121889,21.32861930,21.47277260,0.14415330,0.67586794,-20.17042160,-20.59878520,-0.42836360,2.12372160,0.35496156,0.35568940,0.00072784,0.20504756,-0.38825464,-0.39622539,-0.00797075,2.05296967,1.30218515,1.30889213,0.00670698,0.51505579,5788.46470000,5750.27990000,-38.18480000,-0.65967060,
      ↳ C1 bond wedge,1.80528120,1.83340950,0.02812830,1.55811183,30.69610200,31.14497800,0.44887600,1.46232248,1.78037420,1.81304580,0.03267160,1.83509736,11.73753100,11.89179300,0.15426200,1.31426277,1.20091090,1.21562530,0.01471440,1.22526992,0.00782965,0.01994327,0.01211362,154.71463218,-0.01929062,-0.03177415,-0.01248353,64.71293851,1.15819770,0.87398739,-0.28421031,-24.53901523,-0.03329309,-0.04053599,-0.00724291,21.75499807,0.36292622,0.36431046,0.00138424,0.38141086,-0.38221684,-0.39608462,-0.01386778,3.62824935,9.78033830,9.83848760,0.05814930,0.59455305,-8.62214060,-8.96450020,-0.34235960,3.97070305,0.19000692,0.19065613,0.00064921,0.34167703,-0.22330000,-0.23119212,-0.00789212,3.53431258,0.30218515,0.30889213,0.00670698,2.21949358,1945.08290000,1921.01700000,-24.06590000,-1.23726860,
      ↳ H5 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,0.58300069,0.58253238,-0.00046831,-0.08032752,30.91078900,30.78161100,-0.12917800,-0.41790586,0.93725702,0.93638438,-0.00087264,-0.09310573,0.06274298,0.06361562,0.00087264,1.39081051,0.00000000,-0.00000000,-0.00000000,-221.17017058,0.00000001,-0.00000002,-0.00000003,-257.54934531,-0.00000000,-0.00000000,-0.00000000,542.62508645,0.33915394,0.33943382,0.00027988,0.08252300,-0.33915394,-0.33943382,-0.00027988,0.08252300,11.54828100,11.63428500,0.08600400,0.74473422,-11.54828100,-11.63428500,-0.08600400,0.74473422,0.16495464,0.16503327,0.00007863,0.04766765,-0.16495464,-0.16503327,-0.00007863,0.04766765,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3829.26290000,-14.11890000,-0.36735617,
C1 — H6 bond bundle,2.80308009,2.77495354,-0.02812655,-1.00341585,78.39577200,77.92324600,-0.47252600,-0.60274424,2.43719966,2.40408887,-0.03311079,-1.35855878,38.36757500,38.13631300,-0.23126200,-0.60275376,2.17338219,2.15911494,-0.01426725,-0.65645380,0.08601367,0.07256234,-0.01345133,-15.63859050,-0.04647173,-0.03207061,0.01440112,-30.98899559,-0.20445446,-0.07693416,0.12752031,-62.37100635,-0.04057632,-0.03138144,0.00919488,-22.66070492,0.70304330,0.70401956,0.00097626,0.13886200,-0.74951502,-0.73609017,0.01342485,-1.79113822,20.31311110,20.38457140,0.07146030,0.35179397,-20.51756550,-20.46150550,0.05606000,-0.27322930,0.35904226,0.35948062,0.00043836,0.12209148,-0.39961857,-0.39086205,0.00875652,-2.19121949,1.31484896,1.30791932,-0.00692964,-0.52702936,5810.69310000,5725.78480000,-84.90830000,-1.46124221,
      ↳ C1 bond wedge,1.85456330,1.82723890,-0.02732440,-1.47336033,30.57130900,30.09872200,-0.47258700,-1.54585137,1.84909710,1.81636280,-0.03273430,-1.77028562,11.40171200,11.26582700,-0.13588500,-1.19179471,1.22486540,1.21140030,-0.01346510,-1.09931263,0.03453046,0.02027698,-0.01425348,-41.27798949,-0.04647173,-0.03207061,0.01440112,-30.98899763,-0.20445446,-0.07693414,0.12752032,-62.37101309,-0.04057632,-0.03138144,0.00919488,-22.66070434,0.36410286,0.36477121,0.00066835,0.18356077,-0.41057458,-0.39684182,0.01373276,-3.34476625,9.38117110,9.36612240,-0.01504870,-0.16041387,-9.58562550,-9.44305650,0.14256900,-1.48732078,0.19395867,0.19426938,0.00031071,0.16019392,-0.23453498,-0.22565081,0.00888417,-3.78799359,0.31484896,0.30791932,-0.00692964,-2.20094105,2005.77770000,1925.04060000,-80.73710000,-4.02522672,
      ↳ H6 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,0.58810256,0.58772607,-0.00037649,-0.06401775,26.96586300,26.87048600,-0.09537700,-0.35369534,0.94851679,0.94771464,-0.00080215,-0.08456888,0.05148321,0.05228536,0.00080215,1.55808661,0.00000000,-0.00000000,-0.00000000,-132.54354662,-0.00000000,-0.00000001,-0.00000001,848.77374174,0.00000000,0.00000000,0.00000000,559.57726763,0.33894044,0.33924835,0.00030791,0.09084487,-0.33894044,-0.33924835,-0.00030791,0.09084487,10.93194000,11.01844900,0.08650900,0.79134170,-10.93194000,-11.01844900,-0.08650900,0.79134170,0.16508359,0.16521124,0.00012765,0.07732446,-0.16508359,-0.16521124,-0.00012765,0.07732446,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.74420000,-4.17120000,-0.10962662,
C1 — C2 bond bundle,4.73967750,4.73615980,-0.00351770,-0.07421813,70.62382300,71.06477100,0.44094800,0.62436156,4.72467470,4.71909500,-0.00557970,-0.11809702,30.01166000,30.26277400,0.25111400,0.83672146,3.21219570,3.21014810,-0.00204760,-0.06374456,-0.15723224,-0.15812475,-0.00089251,0.56763867,0.13739291,0.13756334,0.00017043,0.12404206,1.28654999,1.56670730,0.28015731,21.77585886,0.13568031,0.13486048,-0.00081983,-0.60423506,1.07830222,1.08110209,0.00279987,0.25965541,-0.94090931,-0.94353875,-0.00262944,0.27945733,22.91117400,23.25663000,0.34545600,1.50780575,-21.62462500,-21.68992340,-0.06529840,0.30196316,0.65880071,0.66044879,0.00164808,0.25016366,-0.52312040,-0.52558830,-0.00246790,0.47176520,0.76374088,0.76300584,-0.00073504,-0.09624207,4743.76280000,4855.67290000,111.91010000,2.35909983,
      ↳ C1 bond wedge,2.37808240,2.37765260,-0.00042980,-0.01807339,36.48029300,36.75488000,0.27458700,0.75269955,2.37236980,2.37133280,-0.00103700,-0.04371157,15.83503200,16.02511300,0.19008100,1.20038280,1.61215060,1.61127550,-0.00087510,-0.05428153,-0.08028710,-0.07852127,0.00176582,-2.19938706,0.06576235,0.06384476,-0.00191759,-2.91594650,-0.95374321,-0.79705330,0.15668991,-16.42894108,0.07386940,0.07191743,-0.00195197,-2.64245814,0.53098760,0.53181219,0.00082459,0.15529365,-0.46522524,-0.46796743,-0.00274219,0.58943277,11.08447200,11.25526400,0.17079200,1.54082215,-12.03821600,-12.05231800,-0.01410200,0.11714360,0.32652912,0.32708530,0.00055618,0.17033090,-0.25265972,-0.25516786,-0.00250814,0.99269484,0.38296589,0.38318855,0.00022266,0.05814095,2354.82290000,2428.38440000,73.56150000,3.12386549,
      ↳ C2 bond wedge,2.36159510,2.35850720,-0.00308790,-0.13075484,34.14353000,34.30989100,0.16636100,0.48724019,2.35230490,2.34776220,-0.00454270,-0.19311697,14.17662800,14.23766100,0.06103300,0.43051846,1.60004510,1.59887260,-0.00117250,-0.07327918,-0.07694515,-0.07960348,-0.00265833,3.45484436,0.07163056,0.07371858,0.00208802,2.91498493,2.24029320,2.36376060,0.12346740,5.51121612,0.06181091,0.06294305,0.00113214,1.83161846,0.54731462,0.54928990,0.00197528,0.36090393,-0.47568407,-0.47557132,0.00011275,-0.02370271,11.82670200,12.00136600,0.17466400,1.47686143,-9.58640900,-9.63760540,-0.05119640,0.53405191,0.33227159,0.33336349,0.00109190,0.32861672,-0.27046068,-0.27042044,0.00004024,-0.01487832,0.38077499,0.37981729,-0.00095770,-0.25151337,2388.93990000,2427.28850000,38.34860000,1.60525595,
C2 — H4 bond bundle,2.76018961,2.75187673,-0.00831288,-0.30117061,75.76085400,75.72106600,-0.03978800,-0.05251789,2.40336482,2.39307450,-0.01029032,-0.42816305,39.63420100,39.51725700,-0.11694400,-0.29505830,2.14558311,2.14165483,-0.00392828,-0.18308683,0.08363005,0.07878911,-0.00484094,-5.78851621,-0.03343328,-0.02798434,0.00544893,-16.29793557,2.21219352,2.26839159,0.05619807,2.54037760,-0.03575318,-0.03239304,0.00336014,-9.39816565,0.70500123,0.70599153,0.00099030,0.14046784,-0.73843451,-0.73397588,0.00445863,-0.60379491,20.34471160,20.46014790,0.11543630,0.56740200,-18.13251800,-18.19175620,-0.05923820,0.32669594,0.36441377,0.36488998,0.00047621,0.13067838,-0.40016695,-0.39728302,0.00288393,-0.72068171,1.30730328,1.30511098,-0.00219230,-0.16769636,5783.85340000,5749.97160000,-33.88180000,-0.58579977,
      ↳ C2 bond wedge,1.81467550,1.80740890,-0.00726660,-0.40043523,27.95960300,27.93103400,-0.02856900,-0.10217956,1.81278290,1.80302470,-0.00975820,-0.53829943,10.07920800,10.07202300,-0.00718500,-0.07128536,1.20006900,1.19718700,-0.00288200,-0.24015286,0.02914416,0.02325694,-0.00588721,-20.20032556,-0.03343328,-0.02798434,0.00544894,-16.29793775,2.21219350,2.26839160,0.05619810,2.54037904,-0.03575318,-0.03239304,0.00336014,-9.39816542,0.36957964,0.37037387,0.00079423,0.21490091,-0.40301292,-0.39835822,0.00465470,-1.15497538,9.61593260,9.65262790,0.03669530,0.38160937,-7.40373900,-7.38423620,0.01950280,-0.26341825,0.19920451,0.19964265,0.00043814,0.21994482,-0.23495769,-0.23203569,0.00292200,-1.24362816,0.30730328,0.30511098,-0.00219230,-0.71339948,1968.05820000,1932.50210000,-35.55610000,-1.80665897,
      ↳ H4 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,0.59058192,0.59004980,-0.00053212,-0.09010096,29.55499300,29.44523400,-0.10975900,-0.37137211,0.94551411,0.94446783,-0.00104628,-0.11065726,0.05448589,0.05553217,0.00104628,1.92026960,0.00000000,-0.00000000,-0.00000000,-379.38948466,0.00000002,-0.00000001,-0.00000003,-128.53788576,0.00000000,0.00000000,0.00000000,72.69055227,0.33542159,0.33561766,0.00019607,0.05845479,-0.33542159,-0.33561766,-0.00019607,0.05845479,10.72877900,10.80752000,0.07874100,0.73392322,-10.72877900,-10.80752000,-0.07874100,0.73392322,0.16520926,0.16524733,0.00003807,0.02304350,-0.16520926,-0.16524733,-0.00003807,0.02304350,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3817.46950000,1.67430000,0.04387814,
C2 — C3 bond bundle,3.67537320,3.69915580,0.02378260,0.64707987,43.36375600,43.73656200,0.37280600,0.85971796,3.70051980,3.72957480,0.02905500,0.78515997,15.04824280,15.14005960,0.09181680,0.61014964,2.42768640,2.43886880,0.01118240,0.46061963,0.06768740,0.08170501,0.01401761,20.70933499,-0.07639456,-0.09146847,-0.01507391,19.73165890,-8.90497340,-9.26430440,-0.35933100,4.03517208,-0.05211546,-0.06110002,-0.00898456,17.23972953,0.74198526,0.74315140,0.00116614,0.15716485,-0.81837982,-0.83461986,-0.01624004,1.98441355,10.12867780,10.16275720,0.03407940,0.33646445,-19.03365140,-19.42706160,-0.39341020,2.06691922,0.41974084,0.42045082,0.00070998,0.16914723,-0.47185630,-0.48155084,-0.00969454,2.05455347,0.62384344,0.63014346,0.00630002,1.00987196,3965.55680000,3954.15780000,-11.39900000,-0.28745018,
      ↳ C2 bond wedge,1.83768660,1.84957790,0.01189130,0.64707987,21.68187800,21.86828100,0.18640300,0.85971796,1.85025990,1.86478740,0.01452750,0.78515997,7.52412140,7.57002980,0.04590840,0.61014964,1.21384320,1.21943440,0.00559120,0.46061963,0.03384370,0.04085250,0.00700880,20.70933499,-0.03819728,-0.04573424,-0.00753696,19.73165890,-4.45248670,-4.63215220,-0.17966550,4.03517208,-0.02605773,-0.03055001,-0.00449228,17.23972953,0.37099263,0.37157570,0.00058307,0.15716485,-0.40918991,-0.41730993,-0.00812002,1.98441355,5.06433890,5.08137860,0.01703970,0.33646445,-9.51682570,-9.71353080,-0.19670510,2.06691922,0.20987042,0.21022541,0.00035499,0.16914723,-0.23592815,-0.24077542,-0.00484727,2.05455347,0.31192172,0.31507173,0.00315001,1.00987196,1982.77840000,1977.07890000,-5.69950000,-0.28745018,
      ↳ C3 bond wedge,1.83768660,1.84957790,0.01189130,0.64707987,21.68187800,21.86828100,0.18640300,0.85971796,1.85025990,1.86478740,0.01452750,0.78515997,7.52412140,7.57002980,0.04590840,0.61014964,1.21384320,1.21943440,0.00559120,0.46061963,0.03384370,0.04085250,0.00700880,20.70933499,-0.03819728,-0.04573424,-0.00753696,19.73165890,-4.45248670,-4.63215220,-0.17966550,4.03517208,-0.02605773,-0.03055001,-0.00449228,17.23972953,0.37099263,0.37157570,0.00058307,0.15716485,-0.40918991,-0.41730993,-0.00812002,1.98441355,5.06433890,5.08137860,0.01703970,0.33646445,-9.51682570,-9.71353080,-0.19670510,2.06691922,0.20987042,0.21022541,0.00035499,0.16914723,-0.23592815,-0.24077542,-0.00484727,2.05455347,0.31192172,0.31507173,0.00315001,1.00987196,1982.77840000,1977.07890000,-5.69950000,-0.28745018,
C3 — H3 bond bundle,2.76018961,2.75187673,-0.00831288,-0.30117061,75.76085400,75.72106600,-0.03978800,-0.05251789,2.40336482,2.39307450,-0.01029032,-0.42816305,39.63420100,39.51725700,-0.11694400,-0.29505830,2.14558311,2.14165483,-0.00392828,-0.18308683,0.08363005,0.07878911,-0.00484094,-5.78851621,-0.03343328,-0.02798434,0.00544893,-16.29793557,2.21219352,2.26839159,0.05619807,2.54037760,-0.03575318,-0.03239304,0.00336014,-9.39816565,0.70500123,0.70599153,0.00099030,0.14046784,-0.73843451,-0.73397588,0.00445863,-0.60379491,20.34471160,20.46014790,0.11543630,0.56740200,-18.13251800,-18.19175620,-0.05923820,0.32669594,0.36441377,0.36488998,0.00047621,0.13067838,-0.40016695,-0.39728302,0.00288393,-0.72068171,1.30730328,1.30511098,-0.00219230,-0.16769636,5783.85340000,5749.97160000,-33.88180000,-0.58579977,
      ↳ C3 bond wedge,1.81467550,1.80740890,-0.00726660,-0.40043523,27.95960300,27.93103400,-0.02856900,-0.10217956,1.81278290,1.80302470,-0.00975820,-0.53829943,10.07920800,10.07202300,-0.00718500,-0.07128536,1.20006900,1.19718700,-0.00288200,-0.24015286,0.02914416,0.02325694,-0.00588721,-20.20032556,-0.03343328,-0.02798434,0.00544894,-16.29793775,2.21219350,2.26839160,0.05619810,2.54037904,-0.03575318,-0.03239304,0.00336014,-9.39816542,0.36957964,0.37037387,0.00079423,0.21490091,-0.40301292,-0.39835822,0.00465470,-1.15497538,9.61593260,9.65262790,0.03669530,0.38160937,-7.40373900,-7.38423620,0.01950280,-0.26341825,0.19920451,0.19964265,0.00043814,0.21994482,-0.23495769,-0.23203569,0.00292200,-1.24362816,0.30730328,0.30511098,-0.00219230,-0.71339948,1968.05820000,1932.50210000,-35.55610000,-1.80665897,
      ↳ H3 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,0.59058192,0.59004980,-0.00053212,-0.09010096,29.55499300,29.44523400,-0.10975900,-0.37137211,0.94551411,0.94446783,-0.00104628,-0.11065726,0.05448589,0.05553217,0.00104628,1.92026960,0.00000000,-0.00000000,-0.00000000,-379.38948466,0.00000002,-0.00000001,-0.00000003,-128.53788576,0.00000000,0.00000000,0.00000000,72.69055227,0.33542159,0.33561766,0.00019607,0.05845479,-0.33542159,-0.33561766,-0.00019607,0.05845479,10.72877900,10.80752000,0.07874100,0.73392322,-10.72877900,-10.80752000,-0.07874100,0.73392322,0.16520926,0.16524733,0.00003807,0.02304350,-0.16520926,-0.16524733,-0.00003807,0.02304350,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3817.46950000,1.67430000,0.04387814,
