Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
Total,29.76634444,29.76387342,-0.00247102,-0.00830139,650.31835200,652.28106000,1.96270800,0.30180726,27.55774774,27.54949934,-0.00824840,-0.02993133,316.37175400,316.35261800,-0.01913600,-0.00604858,21.76634444,21.76387342,-0.00247102,-0.01135248,0.23365562,0.23612676,0.00247114,1.05759922,0.00000000,-0.00000000,-0.00000000,-168.97575723,0.00000011,0.00000005,-0.00000006,-52.16482660,-0.00000000,-0.00000000,0.00000000,-55.67791254,7.11883914,7.10996928,-0.00886986,-0.12459700,-7.11883914,-7.10996928,0.00886986,-0.12459700,179.92391200,180.12859400,0.20468200,0.11376031,-179.92391200,-180.12859400,-0.20468200,0.11376031,3.89417742,3.89261374,-0.00156368,-0.04015431,-3.89417742,-3.89261374,0.00156368,-0.04015431,10.00000000,10.00000000,0.00000000,0.00000000,48219.10460000,48132.05980000,-87.04480000,-0.18051932,
Bond bundle decomposition according to INS: Volume
C1 — H5 bond bundle,2.75278022,2.68685443,-0.06592579,-2.39488026,78.29958000,78.27651000,-0.02307000,-0.02946376,2.37810749,2.28848332,-0.08962417,-3.76871821,42.43786500,42.07641100,-0.36145400,-0.85172522,2.14397562,2.11525363,-0.02872199,-1.33966029,0.07363355,0.02794798,-0.04568558,-62.04450876,-0.02243563,0.01441303,0.03684866,-164.24168837,0.54420862,1.46763993,0.92343131,169.68332950,-0.03186732,-0.01120793,0.02065939,-64.82938607,0.70208016,0.69975905,-0.00232111,-0.33060470,-0.72451579,-0.68534603,0.03916976,-5.40633628,21.32861930,21.59168710,0.26306780,1.23340286,-20.78441060,-20.12404730,0.66036330,-3.17720484,0.35496156,0.35244192,-0.00251964,-0.70983461,-0.38682888,-0.36364985,0.02317903,-5.99206295,1.30440229,1.28580041,-0.01860188,-1.42608459,5798.66820000,5628.25130000,-170.41690000,-2.93889725,
      ↳ C1 bond wedge,1.81552320,1.74774910,-0.06777410,-3.73303409,30.29883300,30.02702200,-0.27181100,-0.89710056,1.79510680,1.70543910,-0.08966770,-4.99511784,11.52707600,11.54784900,0.02077300,0.18021049,1.20671860,1.17614830,-0.03057030,-2.53334124,0.01089057,-0.03294669,-0.04383726,-402.52498309,-0.02243563,0.01441303,0.03684866,-164.24168897,0.54420861,1.46763990,0.92343129,169.68332971,-0.03186732,-0.01120793,0.02065939,-64.82938634,0.36292622,0.35892988,-0.00399634,-1.10114392,-0.38536185,-0.34451686,0.04084499,-10.59912651,9.78033830,9.84670010,0.06636180,0.67852254,-9.23612960,-8.37906030,0.85706930,-9.27952873,0.19000692,0.18702741,-0.00297951,-1.56810605,-0.22187424,-0.19823534,0.02363890,-10.65418861,0.30440229,0.28580041,-0.01860188,-6.11095271,1955.28640000,1796.33020000,-158.95620000,-8.12956097,
      ↳ H5 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.58300069,0.58304422,0.00004353,0.00746654,30.91078900,30.52856200,-0.38222700,-1.23654883,0.93725702,0.93910533,0.00184831,0.19720418,0.06274298,0.06089467,-0.00184832,-2.94585611,0.00000000,-0.00000000,-0.00000000,-265.25218825,0.00000001,0.00000003,0.00000002,160.36267833,-0.00000000,-0.00000000,-0.00000000,201.59190112,0.33915394,0.34082917,0.00167523,0.49394384,-0.33915394,-0.34082917,-0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.16495464,0.16541451,0.00045987,0.27878573,-0.16495464,-0.16541451,-0.00045987,0.27878573,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,
C1 — H6 bond bundle,2.67036429,2.63103030,-0.03933399,-1.47298218,76.34049200,78.83672600,2.49623400,3.26986889,2.27842336,2.20617298,-0.07225038,-3.17106914,37.62766600,38.36131750,0.73365150,1.94976616,2.10762539,2.09816880,-0.00945659,-0.44868457,0.01785247,-0.03244566,-0.05029814,-281.74322048,0.02295924,0.00401444,-0.01894480,-82.51492719,1.01281020,-0.15483207,-1.16764227,-115.28737268,0.00158603,-0.00589772,-0.00748375,-471.85394841,0.70304330,0.66451796,-0.03852534,-5.47979619,-0.68008406,-0.66050352,0.01958054,-2.87913526,20.31311110,18.95393380,-1.35917730,-6.69113310,-19.30030080,-19.10876590,0.19153490,-0.99239334,0.35904226,0.33729668,-0.02174558,-6.05655167,-0.35745622,-0.34319440,0.01426182,-3.98980888,1.28136946,1.26643077,-0.01493869,-1.16583784,5639.68320000,5341.21660000,-298.46660000,-5.29225826,
      ↳ C1 bond wedge,1.72184750,1.61987660,-0.10197090,-5.92217952,28.51602900,26.46898600,-2.04704300,-7.17856964,1.69032080,1.59440650,-0.09591430,-5.67432525,10.66180300,9.93031650,-0.73148650,-6.86081425,1.15910860,1.08701510,-0.07209350,-6.21973644,-0.03363074,-0.02129201,0.01233872,-36.68882943,0.02295924,0.00401444,-0.01894480,-82.51492351,1.01281020,-0.15483206,-1.16764226,-115.28737171,0.00158603,-0.00589772,-0.00748375,-471.85394391,0.36410286,0.32120894,-0.04289392,-11.78071493,-0.34114362,-0.31719450,0.02394912,-7.02024561,9.38117110,8.19442180,-1.18674930,-12.65033211,-8.36836080,-8.34925390,0.01910690,-0.22832309,0.19395867,0.17098559,-0.02297308,-11.84431714,-0.19237263,-0.17688331,0.01548932,-8.05172752,0.28136946,0.26643077,-0.01493869,-5.30927912,1834.76780000,1701.77180000,-132.99600000,-7.24865566,
      ↳ H6 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.58810256,0.61176648,0.02366392,4.02377436,26.96586300,28.43100100,1.46513800,5.43330655,0.94851679,1.01115370,0.06263691,6.60366908,0.05148321,-0.01115365,-0.06263686,-121.66463785,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.00000000,-0.00000000,-0.00000000,-648.14395986,0.33894044,0.34330902,0.00436858,1.28889312,-0.33894044,-0.34330902,-0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.16508359,0.16631109,0.00122750,0.74356270,-0.16508359,-0.16631109,-0.00122750,0.74356270,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,
C1 — C2 bond bundle,5.04646070,5.07329040,0.02682970,0.53165380,75.82699800,76.75892800,0.93193000,1.22902136,5.08915150,5.11562130,0.02646980,0.52012207,31.85152000,32.45705100,0.60553100,1.90110550,3.36234110,3.37909810,0.01675700,0.49837299,0.00589815,0.00928664,0.00338850,57.45018858,-0.02757995,-0.03286990,-0.00528995,19.18042742,-0.50873580,-0.75859060,-0.24985480,49.11287942,0.02946373,0.02646540,-0.00299833,-10.17633251,1.07830222,1.07427302,-0.00402920,-0.37366148,-1.10588217,-1.10714292,-0.00126075,0.11400401,22.91117400,22.70572900,-0.20544500,-0.89670219,-23.41991000,-23.46431900,-0.04440900,0.18962071,0.65880071,0.65743083,-0.00136988,-0.20793542,-0.62933698,-0.63096544,-0.00162846,0.25875803,0.84205982,0.84709617,0.00503635,0.59809884,5147.03080000,5277.98640000,130.95560000,2.54429408,
      ↳ C1 bond wedge,2.50055630,2.69722250,0.19666620,7.86489790,38.93284200,43.43170900,4.49886700,11.55545490,2.51641340,2.70660860,0.19019520,7.55818579,16.78539600,19.03465000,2.24925400,13.40006515,1.67209980,1.80168490,0.12958510,7.74984244,-0.01518682,-0.01060956,0.00457726,-30.13967176,-0.00052361,-0.01842747,-0.01790386,3419.31446783,-1.55701880,-1.31280780,0.24421100,-15.68452481,0.03028129,0.01710565,-0.01317563,-43.51081103,0.53098760,0.54705019,0.01606259,3.02504051,-0.53151121,-0.56547766,-0.03396645,6.39054254,11.08447200,11.82647700,0.74200500,6.69409422,-12.64149100,-13.13928500,-0.49779400,3.93777917,0.32652912,0.33434617,0.00781705,2.39398250,-0.29624783,-0.31724052,-0.02099269,7.08619199,0.41422825,0.44776883,0.03354058,8.09712520,2515.62930000,2733.72950000,218.10020000,8.66980680,
      ↳ C2 bond wedge,2.54590440,2.37606790,-0.16983650,-6.67096926,36.89415600,33.32721900,-3.56693700,-9.66802710,2.57273810,2.40901270,-0.16372540,-6.36385802,15.06612400,13.42240100,-1.64372300,-10.91005888,1.69024130,1.57741320,-0.11282810,-6.67526583,0.02108497,0.01989621,-0.00118876,-5.63795997,-0.02705634,-0.01444243,0.01261391,-46.62089501,1.04828300,0.55421720,-0.49406580,-47.13095605,-0.00081756,0.00935975,0.01017731,-1244.83602273,0.54731462,0.52722283,-0.02009179,-3.67097630,-0.57437096,-0.54166526,0.03270570,-5.69417716,11.82670200,10.87925200,-0.94745000,-8.01110910,-10.77841900,-10.32503400,0.45338500,-4.20641469,0.33227159,0.32308466,-0.00918693,-2.76488580,-0.33308915,-0.31372492,0.01936423,-5.81352770,0.42783157,0.39932734,-0.02850423,-6.66248870,2631.40150000,2544.25690000,-87.14460000,-3.31171811,
C2 — H4 bond bundle,2.71684951,2.79368948,0.07683997,2.82827480,74.96213800,72.52347300,-2.43866500,-3.25319563,2.35062002,2.47355947,0.12293945,5.23008606,39.33868220,38.34738500,-0.99129720,-2.51990444,2.12581291,2.15125468,0.02544177,1.19680193,0.05626033,0.13361481,0.07735448,137.49383320,-0.00589907,-0.00971460,-0.00381552,64.68007525,2.40088172,2.63592880,0.23504707,9.79003125,-0.01760728,-0.02095908,-0.00335179,19.03640221,0.70500123,0.74241315,0.03741192,5.30664606,-0.71090030,-0.75212775,-0.04122745,5.79932939,20.34471160,21.66078700,1.31607540,6.46888207,-17.94382980,-19.02485800,-1.08102820,6.02451211,0.36441377,0.38709593,0.02268216,6.22428730,-0.38202105,-0.40805501,-0.02603396,6.81479725,1.29551831,1.32121738,0.02569907,1.98369022,5726.69580000,6014.91910000,288.22330000,5.03297731,
      ↳ C2 bond wedge,1.77133540,1.91320270,0.14186730,8.00905915,27.16088700,28.99840600,1.83751900,6.76531293,1.76003810,1.90931250,0.14927440,8.48131640,9.78368920,10.44860600,0.66491680,6.79617664,1.18029880,1.27076790,0.09046910,7.66493196,0.00177444,0.01410159,0.01232716,694.70709424,-0.00589907,-0.00971460,-0.00381553,64.68008338,2.40088170,2.63592880,0.23504710,9.79003255,-0.01760728,-0.02095908,-0.00335179,19.03640102,0.36957964,0.41551780,0.04593816,12.42984056,-0.37547871,-0.42523240,-0.04975369,13.25073531,9.61593260,10.81424800,1.19831540,12.46176996,-7.21505080,-8.17831900,-0.96326820,13.35081660,0.19920451,0.22443375,0.02522924,12.66499438,-0.21681179,-0.24539283,-0.02858104,13.18241965,0.29551831,0.32121738,0.02569907,8.69626995,1910.90060000,2029.93120000,119.03060000,6.22903148,
      ↳ H4 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.59058192,0.56424697,-0.02633495,-4.45915276,29.55499300,27.89877900,-1.65621400,-5.60383824,0.94551411,0.88048678,-0.06502733,-6.87745739,0.05448589,0.11951322,0.06502733,119.34709666,0.00000000,0.00000000,0.00000000,303.32521133,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.00000000,-0.00000000,-0.00000000,-189.93752100,0.33542159,0.32689535,-0.00852624,-2.54194728,-0.33542159,-0.32689535,0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.16520926,0.16266218,-0.00254708,-1.54172956,-0.16520926,-0.16266218,0.00254708,-1.54172956,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,
