Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
Total,29.76634444,29.76381764,-0.00252680,-0.00848878,650.31835200,651.85080200,1.53245000,0.23564613,27.55774774,27.55430375,-0.00344399,-0.01249736,316.37175400,316.76423400,0.39248000,0.12405659,21.76634444,21.76381764,-0.00252680,-0.01160875,0.23365562,0.23618234,0.00252672,1.08138671,0.00000000,-0.00000000,-0.00000001,-241.74452177,0.00000011,-0.00000003,-0.00000014,-125.26623250,-0.00000000,-0.00000000,0.00000000,-81.35681510,7.11883914,7.11592144,-0.00291770,-0.04098561,-7.11883914,-7.11592144,0.00291770,-0.04098561,179.92391200,180.44514500,0.52123300,0.28969635,-179.92391200,-180.44514500,-0.52123300,0.28969635,3.89417742,3.89617899,0.00200157,0.05139904,-3.89417742,-3.89617899,-0.00200157,0.05139904,10.00000000,10.00000000,0.00000000,0.00000000,48219.10460000,48164.74790000,-54.35670000,-0.11272856,
Bond bundle decomposition according to INS: Volume
C1 — H5 bond bundle,2.75278022,2.79477699,0.04199677,1.52561289,78.29958000,74.90472300,-3.39485700,-4.33572824,2.37810749,2.47047279,0.09236530,3.88398339,42.43786500,41.13840500,-1.29946000,-3.06202963,2.14397562,2.14521939,0.00124377,0.05801232,0.07363355,0.15389590,0.08026235,109.00241929,-0.02243563,-0.00736622,0.01506941,-67.16729504,0.54420862,1.73242018,1.18821156,218.33751022,-0.03186732,-0.02754095,0.00432637,-13.57618148,0.70208016,0.74862728,0.04654712,6.62988682,-0.72451579,-0.75599351,-0.03147772,4.34465617,21.32861930,22.84188300,1.51326370,7.09499138,-20.78441060,-21.10946240,-0.32505180,1.56392118,0.35496156,0.38317620,0.02821464,7.94864661,-0.38682888,-0.41071715,-0.02388827,6.17541017,1.30440229,1.32477881,0.02037652,1.56213464,5798.66820000,6100.18510000,301.51690000,5.19976121,
      ↳ C1 bond wedge,1.81552320,1.93649450,0.12097130,6.66316465,30.29883300,32.11086800,1.81203500,5.98054387,1.79510680,1.91901790,0.12391110,6.90271465,11.52707600,12.10409100,0.57701500,5.00573606,1.20671860,1.28693690,0.08021830,6.64763931,0.01089057,0.01217839,0.00128782,11.82514080,-0.02243563,-0.00736622,0.01506941,-67.16729805,0.54420861,1.73242020,1.18821159,218.33752134,-0.03186732,-0.02754095,0.00432636,-13.57618086,0.36292622,0.42287264,0.05994642,16.51752249,-0.38536185,-0.43023887,-0.04487702,11.64542365,9.78033830,11.43935000,1.65901170,16.96272306,-9.23612960,-9.70692940,-0.47079980,5.09737109,0.19000692,0.22231215,0.03230523,17.00213340,-0.22187424,-0.24985310,-0.02797886,12.61023362,0.30440229,0.32477881,0.02037652,6.69394439,1955.28640000,2058.43780000,103.15140000,5.27551360,
      ↳ H5 bond wedge,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,0.58300069,0.55145489,-0.03154580,-5.41093699,30.91078900,29.03431400,-1.87647500,-6.07061502,0.93725702,0.85828249,-0.07897453,-8.42613374,0.06274298,0.14171751,0.07897453,125.86989528,0.00000000,-0.00000000,-0.00000000,-577.57963420,0.00000001,-0.00000002,-0.00000003,-283.58216916,-0.00000000,0.00000000,0.00000000,-613.38960713,0.33915394,0.32575464,-0.01339930,-3.95080181,-0.33915394,-0.32575464,0.01339930,-3.95080181,11.54828100,11.40253300,-0.14574800,-1.26207528,-11.54828100,-11.40253300,0.14574800,-1.26207528,0.16495464,0.16086405,-0.00409059,-2.47982718,-0.16495464,-0.16086405,0.00409059,-2.47982718,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,4041.74730000,198.36550000,5.16122286,
C1 — H6 bond bundle,2.67036429,2.71773469,0.04737040,1.77393025,76.34049200,75.42448100,-0.91601100,-1.19990188,2.27842336,2.35916002,0.08073666,3.54353196,37.62766600,37.78817400,0.16050800,0.42656911,2.10762539,2.12010169,0.01247630,0.59196004,0.01785247,0.07516440,0.05731193,321.03070303,0.02295924,-0.01542140,-0.03838064,-167.16858232,1.01281020,0.07453410,-0.93827610,-92.64086246,0.00158603,-0.01945274,-0.02103877,-1326.50356390,0.70304330,0.71261217,0.00956887,1.36106411,-0.68008406,-0.72803356,-0.04794950,7.05052549,20.31311110,20.16169460,-0.15141650,-0.74541265,-19.30030080,-20.08716050,-0.78685970,4.07692972,0.35904226,0.36655137,0.00750911,2.09142790,-0.35745622,-0.38600410,-0.02854788,7.98639901,1.28136946,1.29881651,0.01744705,1.36159402,5639.68320000,5692.30910000,52.62590000,0.93313575,
      ↳ C1 bond wedge,1.72184750,1.77305020,0.05120270,2.97370702,28.51602900,28.02457700,-0.49145200,-1.72342369,1.69032080,1.77150130,0.08118050,4.80266823,10.66180300,10.32940600,-0.33239700,-3.11764342,1.15910860,1.17541720,0.01630860,1.40699500,-0.03363074,0.01984889,0.05347962,-159.02008683,0.02295924,-0.01542140,-0.03838063,-167.16858516,1.01281020,0.07453411,-0.93827609,-92.64086084,0.00158603,-0.01945274,-0.02103877,-1326.50359217,0.36410286,0.37509445,0.01099159,3.01881452,-0.34114362,-0.39051584,-0.04937222,14.47256144,9.38117110,9.43557960,0.05440850,0.57997556,-8.36836080,-9.36104550,-0.99268470,11.86235541,0.19395867,0.20149385,0.00753518,3.88494105,-0.19237263,-0.22094658,-0.02857395,14.85343835,0.28136946,0.29881651,0.01744705,6.20076180,1834.76780000,1876.55150000,41.78370000,2.27732904,
      ↳ H6 bond wedge,0.94851679,0.94468449,-0.00383230,-0.40403080,47.82446300,47.39990400,-0.42455900,-0.88774442,0.58810256,0.58765872,-0.00044384,-0.07546983,26.96586300,27.45876800,0.49290500,1.82788513,0.94851679,0.94468449,-0.00383230,-0.40403080,0.05148321,0.05531551,0.00383230,7.44378993,0.00000000,0.00000000,-0.00000000,-97.50437932,-0.00000000,-0.00000002,-0.00000001,991.63408940,0.00000000,-0.00000000,-0.00000000,-219.68788370,0.33894044,0.33751772,-0.00142272,-0.41975516,-0.33894044,-0.33751772,0.00142272,-0.41975516,10.93194000,10.72611500,-0.20582500,-1.88278567,-10.93194000,-10.72611500,0.20582500,-1.88278567,0.16508359,0.16505752,-0.00002607,-0.01579200,-0.16508359,-0.16505752,0.00002607,-0.01579200,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3815.75760000,10.84220000,0.28495246,
C1 — C2 bond bundle,5.04646070,4.98494410,-0.06151660,-1.21900484,75.82699800,73.29871900,-2.52827900,-3.33427284,5.08915150,5.04464420,-0.04450730,-0.87455247,31.85152000,30.49310300,-1.35841700,-4.26484199,3.36234110,3.31542290,-0.04691820,-1.39540274,0.00589815,0.02361934,0.01772120,300.45371885,-0.02757995,-0.02908444,-0.00150449,5.45501961,-0.50873580,-0.96218792,-0.45345212,89.13312568,0.02946373,0.03020208,0.00073835,2.50597661,1.07830222,1.07835881,0.00005659,0.00524806,-1.10588217,-1.10744325,-0.00156108,0.14116151,22.91117400,22.45093500,-0.46023900,-2.00879710,-23.41991000,-23.41312300,0.00678700,-0.02897962,0.65880071,0.66243105,0.00363034,0.55105284,-0.62933698,-0.63222898,-0.00289200,0.45953124,0.84205982,0.83476057,-0.00729925,-0.86683272,5147.03080000,5217.56830000,70.53750000,1.37045032,
      ↳ C1 bond wedge,2.50055630,2.27563860,-0.22491770,-8.99470650,38.93284200,33.40036000,-5.53248200,-14.21032146,2.51641340,2.30297170,-0.21344170,-8.48198074,16.78539600,13.89191800,-2.89347800,-17.23806814,1.67209980,1.52282920,-0.14927060,-8.92713461,-0.01518682,-0.01721052,-0.00202370,13.32538916,-0.00052361,0.02278762,0.02331123,-4452.02481788,-1.55701880,-1.80695430,-0.24993550,16.05218254,0.03028129,0.04699369,0.01671240,55.19052888,0.53098760,0.52473028,-0.00625732,-1.17843053,-0.53151121,-0.50194266,0.02956855,-5.56310938,11.08447200,10.25977900,-0.82469300,-7.44007473,-12.64149100,-12.06673400,0.57475700,-4.54659185,0.32652912,0.32696921,0.00044009,0.13477818,-0.29624783,-0.27997552,0.01627231,-5.49280310,0.41422825,0.37640468,-0.03782357,-9.13109379,2515.62930000,2413.71820000,-101.91110000,-4.05111755,
