Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
Total,29.76634444,29.76556906,-0.00077538,-0.00260489,650.31835200,650.85455200,0.53620000,0.08245193,27.55774774,27.55722246,-0.00052528,-0.00190611,316.37175400,317.69425600,1.32250200,0.41802152,21.76634444,21.76556906,-0.00077538,-0.00356229,0.23365562,0.23443092,0.00077530,0.33181218,0.00000000,-0.00000000,-0.00000000,-192.57246646,0.00000011,0.00000002,-0.00000009,-81.04254555,-0.00000000,-0.00000000,-0.00000000,53.37168821,7.11883914,7.12220618,0.00336704,0.04729760,-7.11883914,-7.12220618,-0.00336704,0.04729760,179.92391200,180.27691400,0.35300200,0.19619516,-179.92391200,-180.27691400,-0.35300200,0.19619516,3.89417742,3.89649742,0.00232000,0.05957612,-3.89417742,-3.89649742,-0.00232000,0.05957612,10.00000000,10.00000000,0.00000000,0.00000000,48219.10460000,48162.34580000,-56.75880000,-0.11771019,
Bond bundle decomposition according to INS: Volume
C1 — H5 bond bundle,2.75278022,2.72441860,-0.02836162,-1.03029002,78.29958000,77.22464700,-1.07493300,-1.37284644,2.37810749,2.35613615,-0.02197134,-0.92390021,42.43786500,42.35409100,-0.08377400,-0.19740390,2.14397562,2.12283010,-0.02114552,-0.98627614,0.07363355,0.08034694,0.00671339,9.11729627,-0.02243563,-0.01586818,0.00656745,-29.27239134,0.54420862,0.85437891,0.31017029,56.99473950,-0.03186732,-0.02885555,0.00301177,-9.45096052,0.70208016,0.70803929,0.00595913,0.84878200,-0.72451579,-0.72390748,0.00060831,-0.08396090,21.32861930,21.29997210,-0.02864720,-0.13431343,-20.78441060,-20.44559320,0.33881740,-1.63015159,0.35496156,0.35925694,0.00429538,1.21009723,-0.38682888,-0.38811249,-0.00128361,0.33182890,1.30440229,1.30079425,-0.00360804,-0.27660485,5798.66820000,5745.07140000,-53.59680000,-0.92429500,
      ↳ C1 bond wedge,1.81552320,1.79169420,-0.02382900,-1.31251421,30.29883300,29.57185400,-0.72697900,-2.39936304,1.79510680,1.77455780,-0.02054900,-1.14472298,11.52707600,11.17105000,-0.35602600,-3.08860634,1.20671860,1.19010570,-0.01661290,-1.37670042,0.01089057,0.01307134,0.00218078,20.02445602,-0.02243563,-0.01586818,0.00656744,-29.27238635,0.54420861,0.85437888,0.31017027,56.99473773,-0.03186732,-0.02885555,0.00301177,-9.45096105,0.36292622,0.36967848,0.00675226,1.86050487,-0.38536185,-0.38554667,-0.00018482,0.04796012,9.78033830,9.82236010,0.04202180,0.42965589,-9.23612960,-8.96798120,0.26814840,-2.90325506,0.19000692,0.19436603,0.00435911,2.29418486,-0.22187424,-0.22322158,-0.00134734,0.60725391,0.30440229,0.30079425,-0.00360804,-1.18528675,1955.28640000,1898.63740000,-56.64900000,-2.89722263,
      ↳ H5 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,0.58300069,0.58157835,-0.00142234,-0.24396884,30.91078900,31.18304100,0.27225200,0.88076691,0.93725702,0.93272440,-0.00453262,-0.48360481,0.06274298,0.06727559,0.00453261,7.22409389,0.00000000,0.00000000,0.00000000,817.46789844,0.00000001,0.00000003,0.00000002,136.55758590,-0.00000000,-0.00000000,-0.00000000,498.71293127,0.33915394,0.33836081,-0.00079313,-0.23385546,-0.33915394,-0.33836081,0.00079313,-0.23385546,11.54828100,11.47761200,-0.07066900,-0.61194389,-11.54828100,-11.47761200,0.07066900,-0.61194389,0.16495464,0.16489091,-0.00006373,-0.03863486,-0.16495464,-0.16489091,0.00006373,-0.03863486,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3846.43400000,3.05220000,0.07941444,
C1 — H6 bond bundle,2.67036429,2.76587063,0.09550634,3.57652850,76.34049200,74.32448800,-2.01600400,-2.64080562,2.27842336,2.42247635,0.14405299,6.32248565,37.62766600,37.16493500,-0.46273100,-1.22976270,2.10762539,2.14341983,0.03579444,1.69833027,0.01785247,0.10148172,0.08362924,468.44621264,0.02295924,0.00908702,-0.01387222,-60.42106784,1.01281020,0.78326588,-0.22954432,-22.66409993,0.00158603,-0.00667206,-0.00825809,-520.67602154,0.70304330,0.73710300,0.03405970,4.84460914,-0.68008406,-0.72801597,-0.04793191,7.04793904,20.31311110,21.44813600,1.13502490,5.58764679,-19.30030080,-20.66486980,-1.36456900,7.07019551,0.35904226,0.37878975,0.01974749,5.50004615,-0.35745622,-0.38546181,-0.02800559,7.83469092,1.28136946,1.31122540,0.02985594,2.33000246,5639.68320000,5924.33900000,284.65580000,5.04737216,
      ↳ C1 bond wedge,1.72184750,1.87933320,0.15748570,9.14632103,28.51602900,30.49662500,1.98059600,6.94555332,1.69032080,1.85928130,0.16896050,9.99576530,10.66180300,11.44483400,0.78303100,7.34426438,1.15910860,1.25688240,0.09777380,8.43525792,-0.03363074,-0.01198085,0.02164988,-64.37528945,0.02295924,0.00908702,-0.01387222,-60.42106535,1.01281020,0.78326591,-0.22954429,-22.66409738,0.00158603,-0.00667206,-0.00825809,-520.67604193,0.36410286,0.40623281,0.04212995,11.57089236,-0.34114362,-0.39714578,-0.05600216,16.41600684,9.38117110,10.47101500,1.08984390,11.61735447,-8.36836080,-9.68774880,-1.31938800,15.76638522,0.19395867,0.21625400,0.02229533,11.49488703,-0.19237263,-0.22292606,-0.03055343,15.88242049,0.28136946,0.31122540,0.02985594,10.61093837,1834.76780000,1955.89660000,121.12880000,6.60185992,
      ↳ H6 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,0.58810256,0.56319505,-0.02490751,-4.23523237,26.96586300,25.72010100,-1.24576200,-4.61977427,0.94851679,0.88653743,-0.06197936,-6.53434506,0.05148321,0.11346257,0.06197936,120.38752051,0.00000000,-0.00000000,-0.00000000,-121.47970340,-0.00000000,-0.00000003,-0.00000003,1687.30070979,0.00000000,0.00000000,0.00000000,277.68785215,0.33894044,0.33087019,-0.00807025,-2.38102305,-0.33894044,-0.33087019,0.00807025,-2.38102305,10.93194000,10.97712100,0.04518100,0.41329352,-10.93194000,-10.97712100,-0.04518100,0.41329352,0.16508359,0.16253575,-0.00254784,-1.54336358,-0.16508359,-0.16253575,0.00254784,-1.54336358,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3968.44240000,163.52700000,4.29778281,
C1 — C2 bond bundle,5.04646070,5.10438470,0.05792400,1.14781435,75.82699800,77.06251500,1.23551700,1.62938931,5.08915150,5.15032400,0.06117250,1.20201766,31.85152000,32.03389200,0.18237200,0.57256922,3.36234110,3.39593230,0.03359120,0.99904201,0.00589815,0.02097258,0.01507443,255.57914301,-0.02757995,-0.04461104,-0.01703110,61.75173770,-0.50873580,0.02687210,0.53560790,-105.28213269,0.02946373,0.01601798,-0.01344575,-45.63492396,1.07830222,1.08466007,0.00635785,0.58961670,-1.10588217,-1.12927111,-0.02338894,2.11495769,22.91117400,23.58426300,0.67308900,2.93781977,-23.41991000,-23.55739100,-0.13748100,0.58702617,0.65880071,0.66187310,0.00307239,0.46636106,-0.62933698,-0.64585513,-0.01651815,2.62469083,0.84205982,0.85422621,0.01216639,1.44483678,5147.03080000,5306.01460000,158.98380000,3.08884493,
      ↳ C1 bond wedge,2.50055630,2.33827080,-0.16228550,-6.48997585,38.93284200,35.40367500,-3.52916700,-9.06475566,2.51641340,2.36166570,-0.15474770,-6.14953409,16.78539600,14.94440800,-1.84098800,-10.96779605,1.67209980,1.56231010,-0.10978970,-6.56597770,-0.01518682,-0.01038867,0.00479815,-31.59416971,-0.00052361,0.00678116,0.00730477,-1395.07944813,-1.55701880,-1.63764480,-0.08062600,5.17822906,0.03028129,0.03552761,0.00524632,17.32528682,0.53098760,0.51449220,-0.01649540,-3.10655089,-0.53151121,-0.50771104,0.02380017,-4.47783030,11.08447200,10.48151300,-0.60295900,-5.43967272,-12.64149100,-12.11915800,0.52233300,-4.13189394,0.32652912,0.31873841,-0.00779071,-2.38591584,-0.29624783,-0.28321080,0.01303703,-4.40071747,0.41422825,0.38798035,-0.02624790,-6.33657893,2515.62930000,2467.12080000,-48.50850000,-1.92828490,
      ↳ C2 bond wedge,2.54590440,2.76611390,0.22020950,8.64955888,36.89415600,41.65884000,4.76468400,12.91446808,2.57273810,2.78865830,0.21592020,8.39262263,15.06612400,17.08948400,2.02336000,13.42986424,1.69024130,1.83362220,0.14338090,8.48286573,0.02108497,0.03136125,0.01027628,48.73747727,-0.02705634,-0.05139220,-0.02433586,89.94516109,1.04828300,1.66451690,0.61623390,58.78507044,-0.00081756,-0.01950963,-0.01869207,2286.31799068,0.54731462,0.57016787,0.02285325,4.17552339,-0.57437096,-0.62156007,-0.04718911,8.21578967,11.82670200,13.10275000,1.27604800,10.78955063,-10.77841900,-11.43823300,-0.65981400,6.12162136,0.33227159,0.34313469,0.01086310,3.26934361,-0.33308915,-0.36264433,-0.02955518,8.87305396,0.42783157,0.46624586,0.03841429,8.97883483,2631.40150000,2838.89380000,207.49230000,7.88523910,
C2 — H4 bond bundle,2.71684951,2.66853000,-0.04831951,-1.77851257,74.96213800,77.82636800,2.86423000,3.82090223,2.35062002,2.26613303,-0.08448699,-3.59424276,39.33868220,40.60886260,1.27018040,3.22883312,2.12581291,2.11257440,-0.01323851,-0.62275048,0.05626033,-0.00066317,-0.05692350,-101.17874530,-0.00589907,-0.02254169,-0.01664262,282.12264296,2.40088172,1.28658249,-1.11429924,-46.41208370,-0.01760728,-0.02350835,-0.00590107,33.51493878,0.70500123,0.66302800,-0.04197323,-5.95363926,-0.71090030,-0.68556969,0.02533061,-3.56317335,20.34471160,18.84366680,-1.50104480,-7.37805888,-17.94382980,-17.55708430,0.38674550,-2.15531191,0.36441377,0.34018828,-0.02422549,-6.64779764,-0.38202105,-0.36369663,0.01832442,-4.79670427,1.29551831,1.27797781,-0.01754050,-1.35393687,5726.69580000,5433.17930000,-293.51650000,-5.12540757,
      ↳ C2 bond wedge,1.77133540,1.65726770,-0.11406770,-6.43964435,27.16088700,25.13137200,-2.02951500,-7.47219706,1.76003810,1.65073360,-0.10930450,-6.21034851,9.78368920,9.07649660,-0.70719260,-7.22828154,1.18029880,1.10131210,-0.07898670,-6.69209356,0.00177444,0.01059915,0.00882471,497.32406738,-0.00589907,-0.02254169,-0.01664262,282.12262533,2.40088170,1.28658250,-1.11429920,-46.41208269,-0.01760728,-0.02350835,-0.00590107,33.51493811,0.36957964,0.32307231,-0.04650733,-12.58384526,-0.37547871,-0.34561400,0.02986471,-7.95376920,9.61593260,8.44502480,-1.17090780,-12.17674716,-7.21505080,-7.15844230,0.05660850,-0.78458907,0.19920451,0.17395019,-0.02525432,-12.67758446,-0.21681179,-0.19745854,0.01935325,-8.92629040,0.29551831,0.27797781,-0.01754050,-5.93550362,1910.90060000,1782.00950000,-128.89110000,-6.74504472,
      ↳ H4 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,0.59058192,0.61539943,0.02481751,4.20221296,29.55499300,31.53236600,1.97737300,6.69048712,0.94551411,1.01126230,0.06574819,6.95369739,0.05448589,-0.01126232,-0.06574821,-120.67015661,0.00000000,-0.00000000,-0.00000000,-235.24696746,0.00000002,-0.00000001,-0.00000004,-145.59463020,0.00000000,0.00000000,-0.00000000,-84.00370209,0.33542159,0.33995569,0.00453410,1.35176152,-0.33542159,-0.33995569,-0.00453410,1.35176152,10.72877900,10.39864200,-0.33013700,-3.07711623,-10.72877900,-10.39864200,0.33013700,-3.07711623,0.16520926,0.16623809,0.00102883,0.62274354,-0.16520926,-0.16623809,-0.00102883,0.62274354,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3651.16980000,-164.62540000,-4.31431435,
C2 — C3 bond bundle,3.39343480,3.23916120,-0.15427360,-4.54623734,39.45993800,37.97851600,-1.48142200,-3.75424310,3.36514300,3.16708360,-0.19805940,-5.88561615,13.86028840,13.37069500,-0.48959340,-3.53234641,2.28683440,2.21605580,-0.07077860,-3.09504702,-0.07363339,-0.16984522,-0.09621184,130.66333253,0.06591082,0.14786779,0.08195697,124.34525088,-6.89832940,-5.90219880,0.99613060,-14.44017156,0.03684969,0.08603597,0.04918628,133.47812695,0.74198526,0.73654548,-0.00543978,-0.73313855,-0.67607444,-0.58867768,0.08739676,-12.92709128,10.12867780,9.92483800,-0.20383980,-2.01250157,-17.02700720,-15.82703680,1.19997040,-7.04745341,0.41974084,0.41628128,-0.00345956,-0.82421334,-0.38289116,-0.33024530,0.05264586,-13.74956267,0.55330024,0.51155264,-0.04174760,-7.54519825,3594.94840000,3345.13740000,-249.81100000,-6.94894536,
      ↳ C2 bond wedge,1.69671740,1.61958060,-0.07713680,-4.54623734,19.72996900,18.98925800,-0.74071100,-3.75424310,1.68257150,1.58354180,-0.09902970,-5.88561615,6.93014420,6.68534750,-0.24479670,-3.53234641,1.14341720,1.10802790,-0.03538930,-3.09504702,-0.03681669,-0.08492261,-0.04810592,130.66333253,0.03295541,0.07393389,0.04097849,124.34525088,-3.44916470,-2.95109940,0.49806530,-14.44017156,0.01842484,0.04301798,0.02459314,133.47812695,0.37099263,0.36827274,-0.00271989,-0.73313855,-0.33803722,-0.29433884,0.04369838,-12.92709128,5.06433890,4.96241900,-0.10191990,-2.01250157,-8.51350360,-7.91351840,0.59998520,-7.04745341,0.20987042,0.20814064,-0.00172978,-0.82421334,-0.19144558,-0.16512265,0.02632293,-13.74956267,0.27665012,0.25577632,-0.02087380,-7.54519825,1797.47420000,1672.56870000,-124.90550000,-6.94894536,
      ↳ C3 bond wedge,1.69671740,1.61958060,-0.07713680,-4.54623734,19.72996900,18.98925800,-0.74071100,-3.75424310,1.68257150,1.58354180,-0.09902970,-5.88561615,6.93014420,6.68534750,-0.24479670,-3.53234641,1.14341720,1.10802790,-0.03538930,-3.09504702,-0.03681669,-0.08492261,-0.04810592,130.66333253,0.03295541,0.07393389,0.04097849,124.34525088,-3.44916470,-2.95109940,0.49806530,-14.44017156,0.01842484,0.04301798,0.02459314,133.47812695,0.37099263,0.36827274,-0.00271989,-0.73313855,-0.33803722,-0.29433884,0.04369838,-12.92709128,5.06433890,4.96241900,-0.10191990,-2.01250157,-8.51350360,-7.91351840,0.59998520,-7.04745341,0.20987042,0.20814064,-0.00172978,-0.82421334,-0.19144558,-0.16512265,0.02632293,-13.74956267,0.27665012,0.25577632,-0.02087380,-7.54519825,1797.47420000,1672.56870000,-124.90550000,-6.94894536,
C3 — H3 bond bundle,2.71684951,2.66853000,-0.04831951,-1.77851257,74.96213800,77.82636800,2.86423000,3.82090223,2.35062002,2.26613303,-0.08448699,-3.59424276,39.33868220,40.60886260,1.27018040,3.22883312,2.12581291,2.11257440,-0.01323851,-0.62275048,0.05626033,-0.00066317,-0.05692350,-101.17874530,-0.00589907,-0.02254169,-0.01664262,282.12264296,2.40088172,1.28658249,-1.11429924,-46.41208370,-0.01760728,-0.02350835,-0.00590107,33.51493878,0.70500123,0.66302800,-0.04197323,-5.95363926,-0.71090030,-0.68556969,0.02533061,-3.56317335,20.34471160,18.84366680,-1.50104480,-7.37805888,-17.94382980,-17.55708430,0.38674550,-2.15531191,0.36441377,0.34018828,-0.02422549,-6.64779764,-0.38202105,-0.36369663,0.01832442,-4.79670427,1.29551831,1.27797781,-0.01754050,-1.35393687,5726.69580000,5433.17930000,-293.51650000,-5.12540757,
      ↳ C3 bond wedge,1.77133540,1.65726770,-0.11406770,-6.43964435,27.16088700,25.13137200,-2.02951500,-7.47219706,1.76003810,1.65073360,-0.10930450,-6.21034851,9.78368920,9.07649660,-0.70719260,-7.22828154,1.18029880,1.10131210,-0.07898670,-6.69209356,0.00177444,0.01059915,0.00882471,497.32406738,-0.00589907,-0.02254169,-0.01664262,282.12262533,2.40088170,1.28658250,-1.11429920,-46.41208269,-0.01760728,-0.02350835,-0.00590107,33.51493811,0.36957964,0.32307231,-0.04650733,-12.58384526,-0.37547871,-0.34561400,0.02986471,-7.95376920,9.61593260,8.44502480,-1.17090780,-12.17674716,-7.21505080,-7.15844230,0.05660850,-0.78458907,0.19920451,0.17395019,-0.02525432,-12.67758446,-0.21681179,-0.19745854,0.01935325,-8.92629040,0.29551831,0.27797781,-0.01754050,-5.93550362,1910.90060000,1782.00950000,-128.89110000,-6.74504472,
