Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1,C 1,-0.064848264,1101.5397,35.330757,570.6155,1584.9233,7.049934e-10,-0.69235917,0.69235917,2.6551561e-10,-1.227189,-29.867599,1.227189,29.867599,-2.8045356e-08,6.0648483,40.512816,24.056667,1,6.0064542,1,6231.8316,10258.481,-2.6551561e-10,4.0648483,99.927717,-0.064848262,1
cis-1-3-butadiene_EEF00125-xPlus_SP,C 2,C 2,0.013657409,1154.6107,32.450374,611.14044,629.57601,-5.8809491e-10,-0.75955992,0.75955992,-8.9087848e-10,-1.3167621,-26.84566,1.3167621,26.84566,3.7253898e-08,5.9863426,30.805151,26.023667,1,6.0092378,1,6377.8445,10815.24,8.9087848e-10,3.9863426,82.070518,0.013657407,1
cis-1-3-butadiene_EEF00125-xPlus_SP,H 4,H 4,0.11951322,1551.1097,69.416489,1197.6175,1280.0007,-9.0615515e-11,-0.16266218,0.16266218,8.1055695e-10,-0.32689535,-10.846539,0.32689535,10.846539,-4.6234163e-09,0.88048678,27.898779,3291.3731,1,0.56424697,1,3984.9879,3984.9879,-8.1055695e-10,0.88048678,43.525067,0.11951322,1
cis-1-3-butadiene_EEF00125-xPlus_SP,H 5,H 5,0.060894665,1474.7096,56.780174,1153.2266,1307.0577,-9.8857811e-11,-0.16541451,0.16541451,-2.1859847e-10,-0.34082917,-11.744987,0.34082917,11.744987,3.1388822e-08,0.93910533,30.528562,3236.4736,1,0.58304422,1,3831.9211,3831.9211,2.1859847e-10,0.93910533,48.249488,0.060894665,1
cis-1-3-butadiene_EEF00125-xPlus_SP,H 6,H 6,-0.011153651,1650.4025,73.038087,1083.4405,2543.1691,-2.2204238e-10,-0.16631109,0.16631109,-6.8121153e-10,-0.34330902,-10.759512,0.34330902,10.759512,-9.5994039e-09,1.0111537,28.431001,3144.102,1,0.61176648,1,3639.4448,3639.4448,6.8121153e-10,1.0111537,52.36774,-0.011153651,1
