Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction
cis-1-3-butadiene_SP,C 1,C 1,-0.037926988,1149.4606,35.263822,594.05938,1560.4419,-4.1947601e-10,-0.7104947,0.7104947,-1.9861091e-10,-1.2580167,-30.245982,1.2580167,30.245982,1.2566034e-08,6.037927,38.974275,24.707575,1,6.0018411,1,6305.6835,10460.884,1.9861091e-10,4.037927,97.747704,-0.037926987,1
cis-1-3-butadiene_SP,C 2,C 2,-0.013957287,1122.8138,31.158088,584.9395,599.47237,-3.5372594e-10,-0.74134652,0.74134652,-3.5599967e-11,-1.2878869,-26.506974,1.2878869,26.506974,7.7675395e-09,6.0139573,31.779957,25.174628,1,6.0153476,1,6339.7764,10612.602,3.5599967e-11,4.0139573,83.785011,-0.013957287,1
cis-1-3-butadiene_SP,H 4,H 4,0.054485891,1477.0748,66.399024,1131.626,1298.1129,1.0075385e-10,-0.16520926,0.16520926,2.0096858e-10,-0.33542159,-10.728779,0.33542159,10.728779,2.4258043e-08,0.94551411,29.554993,3210.0634,1,0.59058192,1,3815.7952,3815.7952,-2.0096858e-10,0.94551411,47.801251,0.054485891,1
cis-1-3-butadiene_SP,H 5,H 5,0.062742983,1472.398,54.657415,1159.25,1321.5079,-3.2778669e-11,-0.16495464,0.16495464,1.3228174e-10,-0.33915394,-11.548281,0.33915394,11.548281,1.2055807e-08,0.93725702,30.910789,3234.9378,1,0.58300069,1,3843.3818,3843.3818,-1.3228174e-10,0.93725702,48.000747,0.062742983,1
cis-1-3-butadiene_SP,H 6,H 6,0.05148321,1718.4889,72.618149,1146.9657,2535.5114,4.0508041e-11,-0.16508359,0.16508359,9.3699981e-10,-0.33894044,-10.93194,0.33894044,10.93194,-1.5111254e-09,0.94851679,26.965863,3215.667,1,0.58810256,1,3804.9154,3804.9154,-9.3699981e-10,0.94851679,47.824463,0.051483209,1
